LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,3,5,8,10,13,17,22,27,32,38,44,50,56,61,67,73,77,83,88,93,97,100,100,100,100,100,100,100,100,100,100,100
E01000002,4,5,8,10,13,17,22,27,33,38,44,50,56,62,67,72,77,83,88,93,97,100,100,100,100,100,100,100,100,100,100,100
E01000003,3,6,7,10,13,17,22,27,32,38,44,50,56,62,68,72,78,82,88,92,97,100,100,100,100,100,100,100,100,100,100,100
E01000005,3,5,8,10,13,17,22,27,33,38,44,50,56,62,68,73,77,82,88,93,97,100,99,99,99,100,99,100,99,100,99,100
E01000006,0,0,1,1,2,4,7,12,17,22,28,34,40,46,52,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000007,0,1,1,2,3,5,8,12,17,23,29,35,41,47,52,57,63,67,72,78,82,88,94,100,100,100,100,100,100,100,100,100
E01000008,0,0,1,2,3,5,8,12,17,23,29,35,41,47,52,57,62,67,72,77,82,89,94,100,100,100,100,100,100,100,100,100
E01000009,0,0,1,1,2,4,7,12,17,22,28,34,40,46,52,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000010,0,1,1,2,3,5,8,12,17,23,29,35,41,47,52,57,62,67,73,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000011,0,0,1,1,2,4,8,12,17,22,28,34,40,46,51,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000012,0,1,1,2,3,5,8,12,17,23,29,35,41,47,52,58,62,67,73,78,82,88,94,100,100,100,100,100,100,100,100,100
E01000013,1,1,1,2,3,4,6,9,11,14,18,21,24,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,83,85,87
E01000014,1,1,1,2,3,4,6,9,11,14,18,21,25,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,84,86,87
E01000015,0,0,1,1,2,3,5,7,10,13,16,20,23,27,30,34,37,40,44,48,51,56,61,64,68,72,75,77,80,82,84,86
E01000016,0,1,1,1,2,3,5,7,10,13,16,20,23,27,30,33,37,40,44,48,52,56,60,64,68,71,75,77,80,82,84,86
