LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,288,287,285,280,275,269,264,259,254,249,241,225,204,184,164,146,128,111,94,78,63,49,35,21,9,0,0,0,0,0,0,0
E01000002,235,235,235,234,224,220,215,211,207,203,196,183,166,150,134,119,104,90,77,64,52,40,28,17,7,0,0,0,0,0,0,0
E01000003,126,125,125,122,120,118,116,113,111,109,105,98,89,80,72,64,56,48,41,34,28,21,15,9,4,0,0,0,0,0,0,0
E01000005,117,116,115,113,111,109,107,105,103,101,98,91,83,74,67,59,52,45,38,32,26,20,14,9,4,0,0,0,0,0,0,0
E01000006,61,61,61,61,61,61,61,61,61,61,60,57,53,49,45,41,37,32,28,24,20,16,12,7,3,0,0,0,0,0,0,0
E01000007,61,61,61,61,61,61,61,61,61,61,60,57,53,49,45,41,37,32,28,24,20,16,12,7,3,0,0,0,0,0,0,0
E01000008,106,106,106,106,106,106,106,106,106,106,105,99,92,85,78,71,63,56,49,42,35,27,20,13,5,0,0,0,0,0,0,0
E01000009,69,69,69,69,69,69,64,62,61,60,58,54,49,44,40,35,31,27,23,19,15,12,8,5,2,0,0,0,0,0,0,0
E01000010,246,246,245,245,245,230,225,221,217,212,206,191,174,157,140,124,109,94,80,67,54,41,30,18,8,0,0,0,0,0,0,0
E01000011,50,50,50,50,50,50,46,45,44,43,42,39,35,32,28,25,22,19,16,14,11,8,6,4,2,0,0,0,0,0,0,0
E01000012,125,125,124,124,124,124,124,124,124,124,123,117,108,100,91,83,74,66,57,49,41,32,23,15,6,0,0,0,0,0,0,0
E01000013,70,70,70,70,70,70,70,70,70,70,69,65,61,56,51,46,42,37,32,28,23,18,13,8,4,0,0,0,0,0,0,0
E01000014,70,70,70,70,70,70,70,70,70,70,69,65,61,56,51,46,42,37,32,28,23,18,13,8,4,0,0,0,0,0,0,0
E01000015,104,104,104,103,103,103,103,103,103,103,102,97,90,83,76,69,62,55,48,41,34,27,20,12,5,0,0,0,0,0,0,0
E01000016,64,64,64,64,64,64,64,64,64,64,63,60,56,51,47,42,38,34,30,25,21,17,12,8,3,0,0,0,0,0,0,0
E01000017,65,65,65,65,65,65,65,65,65,65,64,61,56,52,48,43,39,34,30,26,21,17,12,8,3,0,0,0,0,0,0,0
E01000018,55,55,54,54,54,54,54,54,54,54,54,51,47,43,40,36,32,29,25,21,18,14,10,7,3,0,0,0,0,0,0,0
E01000019,55,55,55,55,55,55,55,55,55,55,54,52,48,44,40,37,33,29,25,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000020,71,71,71,71,71,71,71,71,70,70,70,66,61,57,52,47,42,37,33,28,23,18,13,8,4,0,0,0,0,0,0,0
E01000021,104,104,103,103,103,103,103,103,103,103,102,97,90,83,76,69,62,55,48,41,34,27,19,12,5,0,0,0,0,0,0,0
E01000022,41,41,41,41,41,41,41,41,41,41,41,39,36,33,30,27,25,22,19,16,13,11,8,5,2,0,0,0,0,0,0,0
E01000023,27,27,27,27,27,27,27,27,27,27,26,25,23,21,20,18,16,14,12,10,9,7,5,3,1,0,0,0,0,0,0,0
E01000024,46,46,46,46,46,46,46,46,46,46,45,43,40,37,34,30,27,24,21,18,15,12,9,5,2,0,0,0,0,0,0,0
E01000025,74,74,74,74,74,74,74,74,74,74,73,70,65,60,54,49,44,39,34,29,24,19,14,9,4,0,0,0,0,0,0,0
