LSOA11CD,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,kW,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
E01000002,kW,0,0,0,0.1,0.3,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3
E01000003,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E01000005,kW,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
E01000006,kW,0,0,0,0,0.2,0.5,0.7,1.1,1.5,1.9,2.3,2.7,3.1,3.4,3.8,4.1,4.4,4.7,5,5.4,5.8,6.2,6.7,7.2,7.7,8.2,8.8,9.3,9.8,10.3,10.7
E01000007,kW,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1.3,1.5,1.7,1.9,2.1,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.7,3.9,4.2,4.5,4.8,5.1,5.4,5.6
E01000008,kW,0,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2,2.1,2.2,2.3,2.4
E01000009,kW,0,0,0,0,0,0,0.4,1,1.6,2.2,2.8,3.4,4.1,4.6,5.1,5.7,5.8,6.3,6.7,7.3,7.9,8.6,9.3,10,10.8,11.6,12.4,13.3,14.1,14.8,15.4
E01000010,kW,0,0,0,0,0,0,0.2,0.5,0.8,1.1,1.4,1.7,2,2.3,2.6,2.8,2.9,3.2,3.4,3.7,4,4.3,4.7,5.1,5.5,5.9,6.3,6.7,7.1,7.5,7.8
E01000011,kW,0,0,0,0,0,0.1,0.4,0.7,1,1.4,1.7,2.1,2.4,2.7,3.1,3.4,3.5,3.8,4,4.4,4.7,5.1,5.5,5.9,6.4,6.8,7.3,7.8,8.2,8.7,9
