MSOA11CD,Scenario_world,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E02000001,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000017,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000016,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000014,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000010,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02006799,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000009,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000002,Falling Short,MW,0,0,0,0,1.822229426478784e-5,3.644458852957568e-5,1.0511863571920305e-4,1.7412551668906275e-4,2.4346523153761146e-4,4.320069947475137e-4,7.991616398066921e-4,0.001226107499880598,0.0016534099675708453,0.00196217605448397,0.0022712987489665964,0.0025814804801756698,0.002892042592798879,0.0032029137654388242,0.0035141653195424672,0.003825749707510581,0.004137690703028405,0.004450012080067391,0.00476266629088894,0.005075677109428058,0.005389068309373456,0.005702792343081758,0.0060169205322091,0.006331405328952769,0.006646246733291721,0.006961468519275694
E02000003,Falling Short,MW,0,0,0,0,6.896908040071133e-7,1.3793816080142266e-6,3.978607486621669e-6,6.5904307030919265e-6,9.21485126115146e-6,1.635091867218173e-5,3.024725788535815e-5,4.640661900767778e-5,6.25794772775056e-5,7.426588337098784e-5,8.596578661020547e-5,9.770577305084235e-5,1.0946015644718263e-4,1.2122623737448863e-4,1.330067152593739e-4,1.4479979048531033e-4,1.5660636285623301e-4,1.6842733218690994e-4,1.802608988555379e-4,1.921079626755054e-4,2.0396942345087893e-4,2.1584348156345945e-4,2.2773283644777744e-4,2.3963568847960306e-4,2.515520376581399e-4,2.634827838011188e-4
E02000007,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000004,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000011,Falling Short,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
