MSOA11CD,Scenario_world,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E02000001,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000017,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000016,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000014,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000010,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02006799,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000009,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000002,Leading the Way,MW,0,0,0,0,1.3908700087012085e-4,2.781740017402417e-4,2.8820479589751014e-4,2.689570757137509e-4,2.796236251831546e-4,2.6798892898362265e-4,2.800898053837039e-4,2.9395303328164606e-4,2.717981008992235e-4,2.878753125981082e-4,2.6737709251959356e-4,2.8462950347839e-4,2.7190753692672893e-4,2.9009841453412553e-4,2.7657494790861924e-4,1.1016383608843211e-4,9.670346919717293e-5,1.1938373197450423e-4,1.0291585297335262e-4,1.2774330277289604e-4,1.0752673578715432e-4,1.3462413071274685e-4,1.6281606756288666e-4,1.922241630967218e-4,2.2297253889995425e-4,2.5502243284809074e-4
E02000003,Leading the Way,MW,0,0,0,0,5.264267169827124e-6,1.0528534339654248e-5,1.090818721906827e-5,1.0179685340219075e-5,1.0583400754570075e-5,1.0143042210270872e-5,1.0601045085885169e-5,1.1125750737990763e-5,1.0287214552287578e-5,1.0895716692669704e-5,1.011988497350006e-5,1.077286692035767e-5,1.0291356567595903e-5,1.0979858290833026e-5,1.0468012173413443e-5,4.169561943204805e-6,3.6601040709651733e-6,4.518523348071077e-6,3.895234944121666e-6,4.83492253586371e-6,4.069751030231557e-6,5.0953531756674285e-6,6.162382349390251e-6,7.275441592003952e-6,8.4392287486313e-6,9.652276721857537e-6
E02000007,Leading the Way,MW,0.6229096656415786,0.6284384214459868,0.6339671772503951,0.6394959330548033,0.6394959330548033,0.6394959330548033,0.6394959330548033,0.5967872795094679,0.5967872795094679,0.5719559059504925,0.5719559059504925,0.5719559059504925,0.5288481880929964,0.5288481880929964,0.49119144549211946,0.49119144549211946,0.4692368657186026,0.4692368657186026,0.4473625335089854,0.17819102267307596,0.15641875486657986,0.15641875486657986,0.13484223781479476,0.13484223781479476,0.11350219826582114,0.11350219826582114,0.11350219826582114,0.11350219826582114,0.11350219826582114,0.11350219826582114
E02000004,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000011,Leading the Way,MW,0.8196179811073403,0.8268926597973512,0.834167338487362,0.8414420171773729,0.8414420171773729,0.8414420171773729,0.8414420171773729,0.7852464204071946,0.7852464204071946,0.7525735604611744,0.7525735604611744,0.7525735604611744,0.6958528790697321,0.6958528790697321,0.6463045335422626,0.6463045335422626,0.6174169285771088,0.6174169285771088,0.588634912511823,0.2344618719382579,0.2058141511402367,0.2058141511402367,0.17742399712473,0.17742399712473,0.14934499771818577,0.14934499771818577,0.14934499771818577,0.14934499771818577,0.14934499771818577,0.14934499771818577
E02000020,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000018,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000022,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000021,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000019,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000013,Leading the Way,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
