LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000022,Medium,Domestic battery capacity,kW,0.5,0.6,0.7,1.1,1.5,2.1,2.7,3.3,4,4.6,5.3,5.8,6.4,6.9,7.3,7.9,8.4,9,9.6,10.3,11,11.8,12.6,13.4,14.2,14.9,15.7,16.4,17
E01034471,Medium,Domestic battery capacity,kW,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.8,0.9,1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.7,2.8,2.9,3.1,3.2,3.4
E01000024,Medium,Domestic battery capacity,kW,0.5,0.5,0.7,1,1.5,2,2.6,3.1,3.7,4.2,4.8,5.3,5.8,6.3,6.7,7.2,7.7,8.2,8.8,9.4,10.1,10.8,11.4,12.2,12.9,13.5,14.3,14.9,15.4
E01000025,Medium,Domestic battery capacity,kW,0.4,0.4,0.6,0.8,1.8,3,4.2,5.5,6.8,8.1,9.4,10.5,11.7,12.8,13.3,14.4,15.4,16.7,18,19.4,20.8,22.4,23.9,25.6,27.3,28.6,30.3,31.7,32.9
E01000032,Medium,Domestic battery capacity,kW,0.6,0.7,0.9,1.4,3.4,6.1,9,11.8,14.8,17.7,20.6,23.1,25.6,27.9,28.7,30.8,32.7,34.9,37,39.7,42.5,45.7,48.7,52,55.4,58.3,61.5,64.4,66.6
E01000031,Medium,Domestic battery capacity,kW,0.5,0.6,0.7,1.1,2.8,5.1,7.5,9.9,12.4,14.9,17.4,19.5,21.6,23.5,24.2,26,27.5,29.4,31.2,33.4,35.8,38.5,41.1,43.8,46.7,49.2,51.9,54.3,56.2
E01000028,Medium,Domestic battery capacity,kW,0.3,0.3,0.4,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.8,3,3.3,3.6,3.8,4.1,4.4,4.7,5,5.4,5.7,6.1,6.5,6.9,7.3,7.7,8.1,8.5,8.7
E01000027,Medium,Domestic battery capacity,kW,0.8,0.9,1.2,1.7,3.2,5.1,7.2,9.2,11.4,13.5,15.6,17.4,19.2,20.8,21.6,23.1,24.5,26.1,27.6,29.5,31.5,33.9,36.1,38.4,40.9,42.9,45.2,47.3,48.9
E01000030,Medium,Domestic battery capacity,kW,0.8,0.9,1.2,1.8,2.9,4.3,5.8,7.4,8.9,10.5,12.1,13.4,14.7,15.9,16.6,17.8,18.8,19.9,21.1,22.5,24,25.7,27.3,29.1,30.9,32.4,34.1,35.7,36.9
E01000029,Medium,Domestic battery capacity,kW,0.4,0.4,0.6,0.8,1.4,2.3,3.1,4,4.9,5.8,6.7,7.4,8.3,9,9.4,10.2,10.9,11.8,12.6,13.6,14.6,15.7,16.7,17.9,19,20,21.1,22.1,22.9
E01000035,Medium,Domestic battery capacity,kW,0.2,0.2,0.2,0.4,1.6,3.2,4.9,6.6,8.4,10.2,11.9,13.4,14.9,16.3,16.7,17.9,19.1,20.4,21.7,23.3,24.9,26.9,28.7,30.6,32.7,34.4,36.4,38.1,39.4
E01000033,Medium,Domestic battery capacity,kW,1.2,1.3,1.8,2.6,4.3,6.7,9.2,11.7,14.2,16.8,19.3,21.5,23.7,25.7,26.7,28.5,30.2,32.1,34,36.3,38.7,41.5,44.2,47,50,52.5,55.3,57.8,59.7
E01000034,Medium,Domestic battery capacity,kW,0.4,0.5,0.7,1,1.7,2.6,3.5,4.5,5.5,6.5,7.4,8.3,9.1,9.9,10.3,11,11.6,12.4,13.1,14,14.9,16,17,18.1,19.2,20.2,21.3,22.3,23
E01000036,Medium,Domestic battery capacity,kW,0.7,0.8,1.1,1.6,3.3,5.7,8.2,10.6,13.2,15.7,18.3,20.4,22.6,24.6,25.4,27.2,28.8,30.7,32.6,34.9,37.3,40.1,42.8,45.5,48.5,51,53.8,56.3,58.2
E01000001,Medium,Domestic battery capacity,kW,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6
E01000003,Medium,Domestic battery capacity,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
E01000002,Medium,Domestic battery capacity,kW,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2
E01032739,Medium,Domestic battery capacity,kW,0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.9
E01032740,Medium,Domestic battery capacity,kW,0.4,0.4,0.6,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2,2.1,2.2,2.3,2.4,2.5,2.6,2.8,2.9,3,3.2,3.3,3.4,3.5,3.6
E01000005,Medium,Domestic battery capacity,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E01000009,Medium,Domestic battery capacity,kW,0.1,0.1,0.1,0.1,0.6,1.2,1.8,2.4,3.1,3.7,4.4,4.9,5.5,6,6.2,6.8,7.3,7.9,8.6,9.3,10,10.8,11.5,12.3,13.2,13.8,14.6,15.4,16
E01000011,Medium,Domestic battery capacity,kW,0.2,0.2,0.2,0.3,0.6,1,1.4,1.7,2.1,2.5,2.9,3.2,3.5,3.9,4,4.4,4.7,5.1,5.4,5.8,6.3,6.7,7.2,7.7,8.2,8.6,9.1,9.5,9.8
E01000012,Medium,Domestic battery capacity,kW,0.2,0.3,0.3,0.5,0.7,1,1.3,1.6,1.9,2.3,2.6,2.8,3.1,3.4,3.6,3.8,4.1,4.4,4.7,5,5.4,5.8,6.1,6.5,7,7.3,7.7,8,8.3
E01000007,Medium,Domestic battery capacity,kW,0,0,0,0,0.2,0.5,0.9,1.2,1.5,1.8,2.2,2.5,2.8,3,3.1,3.4,3.7,4,4.3,4.7,5,5.4,5.8,6.3,6.7,7,7.4,7.8,8.1
E01000008,Medium,Domestic battery capacity,kW,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1
E01000006,Medium,Domestic battery capacity,kW,0.5,0.6,0.8,1.1,1.4,1.8,2.2,2.6,3,3.4,3.8,4.1,4.5,4.9,5.2,5.6,5.9,6.3,6.7,7.1,7.6,8.1,8.6,9.1,9.6,10,10.5,11,11.4
E01034474,Medium,Domestic battery capacity,kW,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.8
E01034473,Medium,Domestic battery capacity,kW,0.1,0.1,0.2,0.2,0.5,0.7,1.1,1.4,1.7,2,2.3,2.6,2.9,3.2,3.3,3.6,3.8,4.2,4.5,4.8,5.2,5.6,5.9,6.4,6.8,7.1,7.5,7.9,8.2
E01000016,Medium,Domestic battery capacity,kW,1.1,1.3,1.7,2.5,4.8,7.9,11.1,14.4,17.8,21.1,24.4,27.2,30.1,32.7,33.9,36.2,38.4,40.9,43.3,46.3,49.5,53.2,56.7,60.3,64.2,67.5,71.2,74.5,77
E01000015,Medium,Domestic battery capacity,kW,0.3,0.3,0.5,0.7,2.4,4.7,7.1,9.5,12,14.5,16.9,19,21.1,23.1,23.6,25.4,27,28.9,30.7,32.9,35.2,38,40.6,43.3,46.2,48.6,51.3,53.7,55.6
E01000017,Medium,Domestic battery capacity,kW,0.4,0.5,0.6,0.9,1.7,2.7,3.8,4.9,6,7.2,8.3,9.2,10.2,11.1,11.5,12.3,13,13.8,14.6,15.7,16.7,18,19.1,20.4,21.7,22.8,24,25.1,26
E01000018,Medium,Domestic battery capacity,kW,0.5,0.6,0.8,1.2,2.6,4.4,6.4,8.4,10.4,12.5,14.5,16.2,17.9,19.5,20.1,21.6,22.9,24.4,25.8,27.7,29.6,31.8,33.9,36.2,38.5,40.5,42.7,44.7,46.3
E01000014,Medium,Domestic battery capacity,kW,0.3,0.3,0.4,0.6,2.7,5.4,8.4,11.3,14.3,17.3,20.3,22.8,25.4,27.7,28.4,30.5,32.5,34.7,36.9,39.6,42.5,45.8,48.9,52.2,55.7,58.7,61.9,64.9,67.2
