LSOA21CD,Scenario_world,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,System Transformation,Domestic hybrid heat pump,Number,0,0,0,1,1,1,1,1,8,14,20,25,31,36,40,45,49,53,56,60,63,66,68,66,66,65,65,65,64
E01000002,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,7,13,19,25,31,36,41,45,50,54,57,61,64,67,70,68,67,67,66,66,65
E01000003,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,6,11,16,21,26,30,35,38,42,46,49,52,55,57,60,58,57,57,56,56,56
E01000005,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,5,10,14,18,22,26,30,33,36,39,42,45,47,49,51,50,49,49,48,48,48
E01000006,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,1,1,1,3,5,7,9,12,14,16,18,20,22,24,26,29,31,33,33,33,33,33,33,33
E01000007,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,1,5,10,14,19,23,28,32,37,41,46,50,55,59,64,68,68,68,68,68,68,68
E01000008,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,6,12,18,24,30,36,41,47,53,59,65,71,77,83,88,88,88,88,88,88,88
E01000009,System Transformation,Domestic hybrid heat pump,Number,0,0,1,1,1,1,2,2,6,9,12,15,18,21,23,26,28,30,32,34,35,37,38,37,37,37,37,37,36
E01000011,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,2,3,4,6,7,8,9,10,11,12,13,13,14,15,15,15,15,15,14,14,14
E01000012,System Transformation,Domestic hybrid heat pump,Number,0,0,1,1,2,2,2,3,9,15,22,28,34,40,46,52,58,64,70,76,82,88,94,94,94,95,95,95,95
E01000013,System Transformation,Domestic hybrid heat pump,Number,0,0,0,0,0,0,0,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,75,75,75,75,75,75
