LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,ICE Ban,PHEV cars,Number,20,29,33,34,36,38,40,42,45,49,52,54,55,51,48,45,41,38,34,31,27,23,19,16,12,9,7,5,3
E01000002,ICE Ban,PHEV cars,Number,22,32,36,37,39,41,43,46,50,53,57,59,60,56,53,49,45,41,38,34,30,26,21,17,13,10,7,5,3
E01000003,ICE Ban,PHEV cars,Number,11,16,18,18,19,20,22,23,25,26,28,29,30,28,26,24,22,19,19,17,15,13,10,8,7,5,4,4,2
E01000005,ICE Ban,PHEV cars,Number,12,17,19,20,21,23,24,25,27,29,31,33,33,31,29,27,25,23,21,18,16,14,12,9,7,5,4,3,2
E01000006,ICE Ban,PHEV cars,Number,9,14,17,19,21,24,27,31,36,41,45,49,53,50,47,44,41,37,34,30,27,23,19,15,12,9,6,4,3
E01000007,ICE Ban,PHEV cars,Number,13,19,22,25,27,30,33,37,42,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000008,ICE Ban,PHEV cars,Number,13,19,22,25,27,30,33,36,41,47,51,56,59,56,53,49,46,42,38,34,30,25,21,17,13,10,7,5,3
E01000009,ICE Ban,PHEV cars,Number,9,14,16,19,21,24,26,29,34,39,44,49,51,48,45,42,39,36,33,29,26,22,18,15,11,9,6,4,3
E01000011,ICE Ban,PHEV cars,Number,7,11,13,15,16,18,21,23,27,31,34,37,40,38,36,33,31,28,26,23,20,17,14,12,9,7,5,3,2
E01000012,ICE Ban,PHEV cars,Number,12,18,21,23,25,28,31,34,39,43,48,52,55,52,49,46,42,39,35,31,28,24,20,16,12,9,7,5,3
E01000013,ICE Ban,PHEV cars,Number,10,15,18,21,23,26,29,32,38,43,48,52,56,53,50,46,43,39,36,32,28,24,20,16,13,9,7,5,3
E01000014,ICE Ban,PHEV cars,Number,10,15,18,21,23,26,30,33,38,44,49,53,57,54,50,47,44,40,36,32,28,24,20,16,13,10,7,5,3
E01000015,ICE Ban,PHEV cars,Number,11,17,21,24,27,31,35,39,46,53,59,65,70,66,62,58,53,49,44,40,35,30,25,20,16,12,10,6,4
E01000016,ICE Ban,PHEV cars,Number,11,17,21,24,27,32,36,40,47,54,61,67,72,68,64,59,55,50,46,41,36,31,26,21,16,12,9,6,4
E01000017,ICE Ban,PHEV cars,Number,9,13,16,19,21,24,27,31,36,42,47,51,55,52,49,46,42,39,35,31,28,24,20,16,12,9,7,5,3
E01000018,ICE Ban,PHEV cars,Number,10,16,19,22,25,29,33,37,43,50,56,61,66,62,58,54,50,46,42,37,33,28,23,19,15,11,8,6,4
E01000019,ICE Ban,PHEV cars,Number,8,13,15,18,20,23,27,30,36,41,46,50,54,51,48,45,41,37,34,30,26,23,19,15,12,9,6,4,3
E01000020,ICE Ban,PHEV cars,Number,10,15,18,21,24,27,31,35,42,48,54,59,64,60,56,53,48,43,39,35,31,26,22,17,14,10,7,5,3
E01000021,ICE Ban,PHEV cars,Number,9,13,16,19,21,25,28,30,37,43,48,53,57,54,51,47,44,40,36,33,29,24,20,16,13,10,7,5,3
E01000022,ICE Ban,PHEV cars,Number,8,12,15,17,19,22,25,28,34,39,44,48,52,49,46,43,40,36,33,29,26,22,18,15,12,9,6,4,3
E01000024,ICE Ban,PHEV cars,Number,7,11,13,15,17,20,23,26,30,35,39,43,46,44,41,38,36,33,30,26,23,20,17,13,10,8,6,4,3
