LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Reduced Demand,PHEV cars,Number,20,27,31,32,34,36,38,40,43,46,49,51,52,48,45,42,39,35,32,29,25,22,18,14,11,8,6,4,3
E01000002,Reduced Demand,PHEV cars,Number,22,30,34,35,37,39,41,43,47,51,54,55,56,53,49,46,42,39,35,31,28,24,20,16,12,9,7,5,3
E01000003,Reduced Demand,PHEV cars,Number,11,15,17,18,18,19,20,22,23,25,27,27,28,26,24,23,21,19,17,16,14,12,10,8,6,5,3,2,2
E01000005,Reduced Demand,PHEV cars,Number,12,16,18,19,20,21,23,24,26,28,29,30,31,29,27,25,23,21,19,17,15,13,11,9,7,5,4,3,2
E01000006,Reduced Demand,PHEV cars,Number,9,13,16,18,20,23,26,29,34,38,42,46,50,47,44,41,38,35,31,28,25,21,18,14,11,8,6,4,3
E01000007,Reduced Demand,PHEV cars,Number,13,18,21,24,26,29,32,35,40,45,49,53,56,53,50,48,43,39,36,32,28,24,20,16,12,9,7,5,3
E01000008,Reduced Demand,PHEV cars,Number,13,18,21,23,25,28,31,34,39,44,48,52,56,53,49,46,42,39,35,32,28,24,20,16,12,9,7,5,3
E01000009,Reduced Demand,PHEV cars,Number,9,13,15,18,20,22,25,28,32,37,41,45,48,45,42,39,36,33,30,27,24,20,17,14,11,8,6,4,3
E01000011,Reduced Demand,PHEV cars,Number,7,10,12,14,15,17,20,22,25,29,32,35,37,35,33,31,29,26,24,21,19,16,13,11,8,6,4,3,2
E01000012,Reduced Demand,PHEV cars,Number,12,17,20,22,24,26,29,32,36,41,45,48,52,49,46,43,39,36,33,29,26,22,18,15,11,10,6,4,3
E01000013,Reduced Demand,PHEV cars,Number,10,14,17,19,22,24,27,31,36,40,45,49,52,49,46,43,40,37,33,30,26,22,18,15,12,9,6,4,3
E01000014,Reduced Demand,PHEV cars,Number,10,14,17,20,22,25,28,31,36,41,46,50,53,50,47,44,41,37,34,30,26,23,19,15,12,9,6,4,3
E01000015,Reduced Demand,PHEV cars,Number,11,16,19,22,25,29,33,37,43,50,55,60,65,61,58,54,50,45,41,37,32,28,23,19,14,11,8,5,4
E01000016,Reduced Demand,PHEV cars,Number,11,16,20,23,26,30,34,38,45,51,57,62,67,63,59,55,51,47,41,38,33,28,24,19,15,11,8,6,4
E01000017,Reduced Demand,PHEV cars,Number,9,13,15,18,20,23,26,29,34,39,44,48,51,49,46,42,39,36,33,29,26,22,18,15,11,9,6,4,3
E01000018,Reduced Demand,PHEV cars,Number,10,15,18,21,24,27,31,35,41,47,52,57,61,58,54,51,47,43,39,35,30,26,22,17,14,10,7,5,3
E01000019,Reduced Demand,PHEV cars,Number,8,12,15,17,19,22,25,28,34,39,43,47,51,48,45,42,38,35,31,28,24,21,17,14,11,8,6,4,3
E01000020,Reduced Demand,PHEV cars,Number,10,14,17,20,22,26,30,33,39,45,50,55,59,56,53,49,44,40,37,33,29,24,20,16,13,9,7,5,3
E01000021,Reduced Demand,PHEV cars,Number,9,12,15,18,20,23,26,30,35,40,45,48,53,50,47,44,41,37,34,30,27,23,19,15,12,9,6,4,3
E01000022,Reduced Demand,PHEV cars,Number,8,11,14,16,18,21,24,27,32,37,41,45,48,45,43,40,37,34,31,27,24,20,17,14,11,8,6,4,3
E01000024,Reduced Demand,PHEV cars,Number,7,10,12,14,16,19,21,24,29,33,37,40,43,41,38,36,33,30,28,25,22,18,15,12,10,7,5,4,2
E01000025,Reduced Demand,PHEV cars,Number,8,12,14,17,19,22,25,28,33,38,43,47,51,48,45,42,39,35,32,29,25,22,18,14,11,8,6,4,3
E01000027,Reduced Demand,PHEV cars,Number,14,20,24,27,30,33,37,42,48,55,61,66,71,67,63,58,54,49,45,40,35,30,25,20,16,12,9,6,4
E01000028,Reduced Demand,PHEV cars,Number,11,15,18,20,23,26,29,32,37,42,46,50,54,51,48,45,41,38,34,31,27,23,19,15,12,9,7,5,3
E01000029,Reduced Demand,PHEV cars,Number,14,20,24,28,31,35,39,43,50,57,63,68,73,69,65,60,56,51,46,41,36,31,26,21,16,12,9,6,4
E01000030,Reduced Demand,PHEV cars,Number,15,21,25,29,32,36,40,45,52,59,65,71,76,72,67,63,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000031,Reduced Demand,PHEV cars,Number,15,22,26,29,32,36,41,45,52,59,65,71,76,72,67,63,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000032,Reduced Demand,PHEV cars,Number,14,20,24,27,30,34,38,42,49,55,61,66,71,67,63,58,54,50,45,40,35,30,25,20,16,12,9,6,4
E01000033,Reduced Demand,PHEV cars,Number,10,14,16,19,20,23,26,29,34,38,42,46,49,47,44,41,38,35,31,28,25,21,18,14,11,8,6,4,3
E01000034,Reduced Demand,PHEV cars,Number,8,12,15,17,19,23,26,29,35,40,45,49,53,50,47,43,40,37,33,30,26,22,19,15,12,9,6,4,3
E01000035,Reduced Demand,PHEV cars,Number,14,19,23,26,28,31,35,38,44,50,55,59,63,60,56,52,48,44,40,36,31,27,22,18,14,10,8,5,5
E01000036,Reduced Demand,PHEV cars,Number,12,17,20,23,25,28,31,34,39,44,49,53,56,53,50,46,43,39,36,32,28,24,20,16,12,9,7,5,3
E01000037,Reduced Demand,PHEV cars,Number,10,14,17,20,23,27,30,34,41,47,52,57,62,58,55,51,47,43,39,35,31,26,22,18,14,10,7,5,3
E01000038,Reduced Demand,PHEV cars,Number,11,15,19,22,25,29,33,38,45,51,58,63,68,64,60,56,52,48,43,39,34,29,24,19,15,11,8,6,4
E01000039,Reduced Demand,PHEV cars,Number,10,15,18,22,24,29,33,37,44,50,56,62,66,63,59,55,51,47,42,38,33,28,24,19,15,11,8,6,4
E01000040,Reduced Demand,PHEV cars,Number,18,25,29,31,34,36,39,43,48,52,57,61,64,61,57,53,49,45,41,36,32,27,23,18,14,11,8,5,4
E01000041,Reduced Demand,PHEV cars,Number,13,19,22,25,27,30,33,36,42,47,51,56,59,56,53,49,45,41,38,34,29,25,21,17,13,10,7,5,3
E01000042,Reduced Demand,PHEV cars,Number,11,15,18,20,21,24,27,29,33,39,41,45,48,45,42,39,36,33,30,27,24,20,17,14,11,8,6,4,3
E01000043,Reduced Demand,PHEV cars,Number,19,26,30,32,34,37,40,44,49,54,58,62,66,62,58,54,50,46,42,37,33,28,23,19,15,11,8,4,4
E01000044,Reduced Demand,PHEV cars,Number,9,12,15,17,19,22,24,27,31,36,39,43,46,44,41,38,35,32,29,26,23,20,16,13,10,8,6,4,3
E01000045,Reduced Demand,PHEV cars,Number,14,19,22,25,27,30,34,37,42,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000046,Reduced Demand,PHEV cars,Number,16,22,26,29,32,36,40,43,50,56,61,66,71,67,63,59,54,50,45,40,35,30,25,20,16,12,9,6,4
E01000049,Reduced Demand,PHEV cars,Number,11,16,18,20,22,24,26,28,31,35,38,40,43,40,38,35,33,30,27,24,21,18,15,12,9,7,5,4,2
E01000050,Reduced Demand,PHEV cars,Number,13,19,22,23,25,27,29,32,35,39,42,45,48,45,42,39,36,33,30,27,24,20,17,14,11,8,6,4,3
E01000051,Reduced Demand,PHEV cars,Number,8,11,12,14,15,16,17,19,21,23,25,27,29,27,26,24,22,20,18,16,14,12,10,8,6,5,3,2,2
E01000052,Reduced Demand,PHEV cars,Number,20,28,32,35,37,41,44,47,53,58,63,68,71,68,63,59,55,50,45,40,35,30,25,20,16,12,9,6,4
E01000053,Reduced Demand,PHEV cars,Number,8,11,13,15,17,20,23,26,30,35,39,42,45,43,40,38,35,32,29,26,23,19,16,13,10,8,7,4,3
E01000054,Reduced Demand,PHEV cars,Number,11,16,20,22,25,28,32,35,41,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
