LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,EV % of vans,Percentage,0.0385,0.0377,0.0377,0.0377,0.0566,0.0755,0.0943,0.1296,0.1818,0.2182,0.2321,0.2679,0.2982,0.3276,0.339,0.3559,0.3667,0.3607,0.371,0.3651,0.3651,0.3594,0.3538,0.3385,0.3333,0.3284,0.3134,0.3088,0.3088,0.2899
E01000002,EV % of vans,Percentage,0.037,0.0364,0.0364,0.0545,0.0545,0.0714,0.0893,0.125,0.193,0.2069,0.2414,0.2712,0.3,0.3167,0.3443,0.3548,0.3651,0.3594,0.375,0.3692,0.3636,0.3582,0.3382,0.3382,0.3333,0.3143,0.3143,0.3099,0.2958,0.2917
E01000003,EV % of vans,Percentage,0.0345,0.0345,0.0345,0.0345,0.069,0.0667,0.1,0.1333,0.1667,0.1935,0.2258,0.2581,0.2813,0.3438,0.3333,0.3636,0.3636,0.3824,0.3824,0.3714,0.3714,0.3611,0.3611,0.3611,0.3514,0.3243,0.3243,0.3158,0.3158,0.3158
E01000005,EV % of vans,Percentage,0.0476,0.0476,0.0476,0.0476,0.0476,0.0909,0.0909,0.1364,0.1364,0.1818,0.2174,0.2609,0.2609,0.3043,0.3333,0.3333,0.3333,0.36,0.36,0.36,0.3462,0.3462,0.3462,0.3462,0.2963,0.2963,0.2963,0.2963,0.2857,0.2857
E01000006,EV % of vans,Percentage,0,0,0,0.0357,0.0357,0.0357,0.0714,0.1071,0.1379,0.1724,0.2069,0.2333,0.2667,0.3667,0.3226,0.3548,0.3438,0.3438,0.375,0.3636,0.3636,0.3529,0.3529,0.3235,0.3143,0.3143,0.3143,0.3056,0.3056,0.2778
E01000007,EV % of vans,Percentage,0,0,0.0233,0.0233,0.0233,0.0455,0.0682,0.0909,0.1333,0.1778,0.2174,0.2609,0.2766,0.2979,0.3125,0.3265,0.3469,0.34,0.3529,0.3529,0.3462,0.3462,0.3396,0.3091,0.3148,0.3091,0.2909,0.2857,0.2857,0.2857
E01000008,EV % of vans,Percentage,0,0.0417,0.0208,0.0208,0.0208,0.0417,0.0625,0.102,0.1373,0.18,0.2157,0.2549,0.2692,0.3077,0.3208,0.3333,0.3273,0.3455,0.3393,0.3509,0.3509,0.3276,0.322,0.322,0.3167,0.3,0.2951,0.2951,0.2903,0.2742
E01000009,EV % of vans,Percentage,0,0,0,0.0385,0.0385,0.0385,0.0769,0.1111,0.1481,0.1852,0.1786,0.2143,0.25,0.2759,0.3793,0.3448,0.3667,0.3667,0.3548,0.3548,0.3548,0.3438,0.3438,0.3438,0.3333,0.3333,0.303,0.3235,0.2941,0.2647
E01000010,EV % of vans,Percentage,0,0,0.0238,0.0238,0.0238,0.0476,0.0714,0.093,0.1395,0.1591,0.2273,0.25,0.2889,0.3043,0.3261,0.3404,0.3404,0.3542,0.3469,0.3469,0.34,0.3333,0.3333,0.3269,0.3077,0.3019,0.3019,0.3019,0.2778,0.2778
E01000011,EV % of vans,Percentage,0,0,0,0,0.0476,0.0476,0.0476,0.0952,0.1429,0.1818,0.1818,0.2273,0.2727,0.2609,0.3043,0.3043,0.3333,0.3333,0.3333,0.32,0.32,0.32,0.32,0.3077,0.3077,0.3077,0.2692,0.2593,0.2593,0.2593
E01000012,EV % of vans,Percentage,0,0,0.025,0.025,0.025,0.05,0.075,0.0976,0.122,0.1667,0.2143,0.2619,0.2791,0.2955,0.3182,0.3333,0.3556,0.3478,0.3404,0.3404,0.3333,0.3333,0.3265,0.3265,0.32,0.3,0.2941,0.2941,0.2941,0.2885
E01000013,EV % of vans,Percentage,0,0,0,0.0263,0.0263,0.0526,0.0789,0.1026,0.1282,0.175,0.2,0.25,0.2683,0.3095,0.3095,0.3256,0.3488,0.3409,0.3409,0.3556,0.3556,0.3478,0.3261,0.3191,0.3191,0.3125,0.2917,0.2857,0.2857,0.2857
E01000014,EV % of vans,Percentage,0,0,0,0.0263,0.0263,0.0513,0.0769,0.1026,0.125,0.175,0.2,0.2439,0.2927,0.3095,0.3333,0.3256,0.3409,0.3409,0.3556,0.3556,0.3478,0.3478,0.3404,0.3191,0.3125,0.3125,0.3061,0.2857,0.2857,0.28
E01000015,EV % of vans,Percentage,0,0,0.0189,0.0189,0.0189,0.037,0.0741,0.0926,0.1455,0.1786,0.2143,0.2456,0.2807,0.2931,0.3051,0.3167,0.3279,0.3443,0.3387,0.3333,0.3281,0.3281,0.3231,0.3182,0.3182,0.2985,0.2941,0.2941,0.2754,0.2754
E01000016,EV % of vans,Percentage,0,0,0.0172,0.0172,0.0172,0.0517,0.069,0.1017,0.15,0.1833,0.2131,0.2419,0.2742,0.3016,0.3125,0.3231,0.3333,0.3433,0.3433,0.3382,0.3333,0.3286,0.3239,0.3239,0.3056,0.3014,0.2973,0.2838,0.28,0.28
E01000017,EV % of vans,Percentage,0,0,0.0233,0.0233,0.0227,0.0455,0.0682,0.0909,0.1333,0.1556,0.2174,0.2391,0.2766,0.2979,0.3125,0.3265,0.3469,0.34,0.3333,0.3529,0.3462,0.3396,0.3208,0.3148,0.3148,0.3091,0.2909,0.2857,0.2857,0.2857
E01000018,EV % of vans,Percentage,0,0,0.02,0.02,0.02,0.04,0.06,0.098,0.1373,0.1923,0.2075,0.2453,0.2778,0.2909,0.3091,0.3214,0.3333,0.3509,0.3448,0.339,0.3333,0.3333,0.3279,0.3226,0.3065,0.3016,0.3016,0.2813,0.2813,0.2769
E01000019,EV % of vans,Percentage,0.0185,0.0182,0.0182,0.0182,0.0364,0.0545,0.0727,0.1071,0.1579,0.193,0.2241,0.2586,0.2712,0.3,0.3115,0.3226,0.3387,0.3492,0.3438,0.3385,0.3333,0.3284,0.3284,0.3235,0.3188,0.3043,0.3,0.3,0.2817,0.2817
E01000020,EV % of vans,Percentage,0.0156,0.0156,0.0154,0.0308,0.0308,0.0462,0.0758,0.1061,0.1493,0.1912,0.2206,0.2464,0.2714,0.2958,0.3194,0.3288,0.3378,0.3467,0.3421,0.3377,0.3333,0.3291,0.3291,0.325,0.3086,0.3049,0.2892,0.2892,0.2857,0.2738
E01000021,EV % of vans,Percentage,0,0,0,0.0278,0.0278,0.0556,0.0556,0.1081,0.1351,0.1622,0.1842,0.2632,0.2821,0.3077,0.325,0.325,0.3415,0.3415,0.3571,0.3571,0.3488,0.3488,0.3409,0.3182,0.3111,0.3111,0.3043,0.3043,0.2826,0.2766
E01000022,EV % of vans,Percentage,0,0,0,0.0294,0.0294,0.0294,0.0588,0.0857,0.1429,0.1714,0.1944,0.25,0.2703,0.2973,0.3158,0.3421,0.3333,0.359,0.35,0.35,0.3415,0.3415,0.3415,0.3333,0.3095,0.3023,0.3023,0.3023,0.2955,0.2727
E01000023,EV % of vans,Percentage,0,0.0156,0.0156,0.0156,0.0313,0.0462,0.0615,0.0909,0.1515,0.1791,0.2059,0.25,0.2754,0.3,0.3099,0.3194,0.3288,0.3378,0.3333,0.3421,0.3377,0.3333,0.3165,0.3165,0.3125,0.2963,0.2927,0.2805,0.2771,0.2738
E01000024,EV % of vans,Percentage,0,0,0,0.0323,0.0323,0.0323,0.0645,0.0968,0.125,0.1563,0.1875,0.2121,0.2727,0.303,0.3235,0.3529,0.3429,0.3429,0.3611,0.3611,0.3514,0.3514,0.3514,0.3158,0.3158,0.3077,0.3077,0.3077,0.3333,0.275
E01000025,EV % of vans,Percentage,0,0,0,0.0286,0.0286,0.0571,0.0556,0.1111,0.1389,0.1622,0.1892,0.2632,0.2895,0.3077,0.3333,0.325,0.35,0.3415,0.3415,0.3571,0.3571,0.3488,0.3256,0.3182,0.3182,0.3182,0.3111,0.2889,0.2826,0.2826
E01000027,EV % of vans,Percentage,0,0.0145,0.0145,0.0145,0.029,0.0429,0.0714,0.1127,0.1408,0.1806,0.2055,0.2432,0.2667,0.2895,0.3117,0.3205,0.3291,0.3375,0.358,0.3415,0.3614,0.3214,0.3176,0.3176,0.3023,0.2989,0.2955,0.2809,0.2809,0.2667
E01000028,EV % of vans,Percentage,0,0,0.0213,0.0213,0.0213,0.0426,0.0638,0.1042,0.125,0.2041,0.2245,0.24,0.2745,0.2941,0.3077,0.3208,0.3396,0.3333,0.3455,0.3455,0.3393,0.3333,0.3333,0.3103,0.3103,0.3051,0.3,0.2833,0.2833,0.2787
E01000029,EV % of vans,Percentage,0,0.0161,0.0159,0.0159,0.0317,0.0476,0.0635,0.0938,0.1385,0.1846,0.2121,0.2388,0.2647,0.2899,0.3143,0.3239,0.338,0.3333,0.3425,0.3378,0.3333,0.3289,0.3247,0.3077,0.3077,0.3038,0.2875,0.2875,0.284,0.2683
E01000030,EV % of vans,Percentage,0,0.0303,0.0152,0.0152,0.0303,0.0448,0.0597,0.1194,0.1471,0.1739,0.2143,0.2429,0.2676,0.2917,0.3151,0.3243,0.3333,0.3421,0.3377,0.3333,0.3291,0.325,0.321,0.3171,0.3049,0.3012,0.2857,0.2824,0.2824,0.2674
E01000031,EV % of vans,Percentage,0,0.0159,0.0159,0.0159,0.0313,0.0469,0.0625,0.0923,0.1538,0.1818,0.209,0.2388,0.2647,0.2899,0.3143,0.3239,0.3333,0.3425,0.3378,0.3333,0.3289,0.3247,0.3247,0.3205,0.3038,0.3,0.2963,0.284,0.2805,0.2683
E01000032,EV % of vans,Percentage,0,0,0.0182,0.0182,0.0179,0.0357,0.0714,0.1053,0.1579,0.1552,0.2069,0.2373,0.2667,0.2951,0.3115,0.3226,0.3333,0.3438,0.3385,0.3385,0.3333,0.3284,0.3235,0.3235,0.3043,0.3,0.3,0.2817,0.2817,0.2778
