LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,EV % of vans,Percentage,0.0385,0.0385,0.0385,0.0577,0.0566,0.0943,0.1321,0.1887,0.2453,0.3148,0.4074,0.4545,0.5455,0.5893,0.6429,0.6842,0.7193,0.7241,0.7414,0.7458,0.7458,0.7333,0.7167,0.6885,0.6885,0.6613,0.629,0.6032,0.6032,0.5781
E01000002,EV % of vans,Percentage,0.037,0.037,0.0364,0.0545,0.0727,0.0909,0.1273,0.1964,0.2321,0.3036,0.386,0.4737,0.5345,0.6034,0.6441,0.6949,0.7167,0.75,0.7377,0.7377,0.7419,0.7419,0.7143,0.6984,0.6719,0.6719,0.6462,0.6154,0.5909,0.5909
E01000003,EV % of vans,Percentage,0.0345,0.0345,0.0345,0.069,0.069,0.1034,0.1379,0.1667,0.2333,0.3333,0.4,0.4667,0.5161,0.6129,0.6774,0.6774,0.6875,0.7188,0.75,0.7273,0.7273,0.7273,0.7273,0.7059,0.6765,0.6471,0.6471,0.6,0.6,0.6
E01000005,EV % of vans,Percentage,0.0476,0.0476,0.0476,0.0476,0.0476,0.0952,0.1429,0.1818,0.2273,0.2727,0.4091,0.5,0.5455,0.5652,0.6522,0.6957,0.6957,0.7391,0.75,0.75,0.75,0.75,0.75,0.68,0.64,0.64,0.64,0.64,0.5769,0.5769
E01000006,EV % of vans,Percentage,0,0,0,0.0357,0.0357,0.0714,0.1071,0.1429,0.1786,0.3214,0.3929,0.4483,0.5172,0.5517,0.6,0.6333,0.6667,0.7,0.7097,0.7097,0.7097,0.7097,0.6875,0.6875,0.6563,0.625,0.6061,0.6061,0.5758,0.5758
E01000007,EV % of vans,Percentage,0,0.0233,0.0233,0.0233,0.0465,0.0698,0.1163,0.1364,0.2273,0.2955,0.3636,0.4444,0.5111,0.5652,0.6087,0.6522,0.6809,0.7021,0.7083,0.7292,0.7083,0.6939,0.6939,0.68,0.66,0.66,0.6078,0.5882,0.5769,0.5577
E01000008,EV % of vans,Percentage,0,0.0213,0.0213,0.0208,0.0417,0.0625,0.1042,0.1458,0.2083,0.2857,0.3878,0.44,0.5,0.58,0.6078,0.6471,0.6731,0.7115,0.717,0.7358,0.7222,0.7037,0.6909,0.6727,0.6727,0.6429,0.6071,0.5965,0.5789,0.569
E01000009,EV % of vans,Percentage,0,0,0,0.0385,0.0385,0.0769,0.1154,0.1538,0.1923,0.2963,0.3704,0.4444,0.5185,0.5357,0.6071,0.6429,0.6786,0.7143,0.7241,0.7241,0.7241,0.7241,0.7,0.7,0.6333,0.6333,0.6129,0.5806,0.5806,0.5806
E01000010,EV % of vans,Percentage,0,0,0.0244,0.0244,0.0476,0.0714,0.0952,0.1429,0.2143,0.2857,0.3488,0.4419,0.5,0.5682,0.6136,0.6444,0.6889,0.7111,0.7174,0.7391,0.7021,0.7021,0.7021,0.6875,0.6667,0.6735,0.6122,0.5918,0.58,0.56
E01000011,EV % of vans,Percentage,0,0,0,0.0476,0.0476,0.0476,0.0952,0.1429,0.1905,0.2857,0.381,0.4762,0.5,0.5455,0.6364,0.6818,0.6818,0.6957,0.7391,0.7391,0.7391,0.7391,0.7083,0.6667,0.625,0.625,0.625,0.6,0.56,0.56
E01000012,EV % of vans,Percentage,0,0,0.0256,0.0256,0.05,0.075,0.1,0.15,0.225,0.3,0.3659,0.4634,0.5,0.5714,0.619,0.6512,0.6977,0.7209,0.7273,0.7273,0.7111,0.7111,0.6889,0.6739,0.6739,0.6522,0.617,0.5957,0.5833,0.5625
E01000013,EV % of vans,Percentage,0,0,0.027,0.0263,0.0263,0.0789,0.1053,0.1579,0.1842,0.2821,0.359,0.4615,0.5,0.575,0.625,0.6585,0.6829,0.7073,0.7143,0.7143,0.7143,0.6977,0.6977,0.6818,0.6591,0.6364,0.6,0.6,0.5778,0.5652
E01000014,EV % of vans,Percentage,0,0,0.0263,0.0263,0.0263,0.0789,0.1053,0.1538,0.1795,0.2821,0.359,0.45,0.525,0.575,0.6098,0.6585,0.7073,0.7143,0.7381,0.7143,0.6977,0.6977,0.6818,0.6818,0.6591,0.6222,0.6,0.6,0.5652,0.5652
E01000015,EV % of vans,Percentage,0,0,0.0189,0.0189,0.0377,0.0755,0.0943,0.1667,0.2037,0.2778,0.3636,0.4364,0.5179,0.5714,0.614,0.6667,0.6897,0.7069,0.7119,0.7119,0.7167,0.7167,0.6885,0.6721,0.6452,0.6452,0.619,0.5873,0.5781,0.5625
