LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Domestic battery capacity,kW,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
E01000002,Domestic battery capacity,kW,0,0,0.1,0.3,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.9,3,3.1,3.2,3.3
E01000003,Domestic battery capacity,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E01000005,Domestic battery capacity,kW,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
E01000006,Domestic battery capacity,kW,0,0,0,0.2,0.4,0.7,1,1.4,1.7,2.1,2.5,2.9,3.2,3.6,3.9,4.2,4.6,4.9,5.3,5.7,6.1,6.6,7.1,7.6,8.1,8.6,9.1,9.6,10.1,10.4
E01000007,Domestic battery capacity,kW,0,0,0,0,0,0.1,0.3,0.5,0.8,1,1.2,1.4,1.6,1.8,2,2,2.2,2.4,2.6,2.9,3.1,3.4,3.7,3.9,4.2,4.5,4.8,5.1,5.3,5.5
E01000008,Domestic battery capacity,kW,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2,2.1,2.2,2.3,2.4
E01000009,Domestic battery capacity,kW,0,0,0,0,0,0.4,0.9,1.5,2,2.6,3.2,3.8,4.3,4.8,5.4,5.5,6,6.5,7.1,7.7,8.4,9,9.8,10.5,11.3,12.1,12.8,13.6,14.3,14.9
E01000010,Domestic battery capacity,kW,0,0,0,0,0,0.2,0.5,0.9,1.2,1.6,1.9,2.2,2.5,2.9,3.2,3.3,3.6,3.8,4.2,4.6,5,5.4,5.8,6.3,6.7,7.2,7.6,8.1,8.5,8.8
E01000011,Domestic battery capacity,kW,0,0,0,0,0.1,0.3,0.6,0.9,1.3,1.6,2,2.3,2.6,2.9,3.2,3.3,3.6,3.9,4.3,4.6,5,5.4,5.9,6.3,6.7,7.2,7.6,8.1,8.5,8.8
E01000012,Domestic battery capacity,kW,0,0,0,0.1,0.2,0.4,0.7,1,1.3,1.6,1.9,2.2,2.4,2.7,3,3.2,3.4,3.7,4,4.3,4.6,5,5.4,5.8,6.2,6.6,6.9,7.4,7.7,8
E01000013,Domestic battery capacity,kW,0,0,0.1,0.3,0.7,3.5,7.2,11.3,15.3,19.5,23.6,27.7,31.2,34.7,37.9,38.9,41.8,44.5,47.5,50.5,54.3,58.2,63,67.3,71.9,76.9,81.1,85.7,89.8,92.9
E01000014,Domestic battery capacity,kW,0,0,0,0.1,0.3,2.3,5,8,11,14.1,17.1,20.1,22.7,25.3,27.6,28.2,30.4,32.3,34.6,36.8,39.5,42.4,45.9,49.1,52.5,56.2,59.2,62.6,65.6,67.9
E01000015,Domestic battery capacity,kW,0,0,0,0.1,0.3,2,4.3,6.8,9.2,11.8,14.3,16.8,18.9,21.1,23,23.6,25.4,27,28.9,30.7,33,35.4,38.3,41,43.8,46.8,49.4,52.2,54.7,56.6
E01000016,Domestic battery capacity,kW,0,0,0.1,0.6,1.4,3.7,6.7,10,13.2,16.6,19.9,23.3,26.1,28.9,31.5,32.7,35,37.2,39.6,42.1,45.1,48.3,52.2,55.7,59.4,63.4,66.8,70.5,73.8,76.3
E01000017,Domestic battery capacity,kW,0,0,0.1,0.2,0.5,1.3,2.2,3.3,4.4,5.4,6.5,7.6,8.5,9.4,10.3,10.7,11.4,12.1,12.9,13.7,14.7,15.7,17,18.1,19.3,20.6,21.7,22.9,24,24.8
E01000018,Domestic battery capacity,kW,0,0,0,0.2,0.4,1.7,3.6,5.5,7.5,9.5,11.5,13.5,15.2,16.9,18.4,19,20.4,21.7,23.2,24.6,26.4,28.3,30.7,32.8,35,37.4,39.5,41.7,43.7,45.2
E01000019,Domestic battery capacity,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Domestic battery capacity,kW,0,0,0.1,0.3,0.6,1.4,2.4,3.5,4.7,5.9,7,8.2,9.2,10.3,11.4,11.9,13,13.9,15.1,16.4,17.7,19,20.6,22,23.6,25.2,26.6,28.2,29.6,30.7
E01000021,Domestic battery capacity,kW,0,0,0,0.1,0.3,0.9,1.8,2.7,3.6,4.6,5.5,6.5,7.3,8.2,9.1,9.5,10.3,11.1,12.1,13.1,14.2,15.3,16.6,17.7,19,20.4,21.5,22.8,23.9,24.8
E01000022,Domestic battery capacity,kW,0,0,0,0.2,0.5,0.9,1.4,2,2.6,3.2,3.8,4.5,5,5.6,6.1,6.5,7,7.5,8.2,8.8,9.5,10.2,11,11.8,12.6,13.4,14.1,15,15.7,16.3
E01000023,Domestic battery capacity,kW,0,0,0,0.1,0.2,0.3,0.6,0.8,1,1.3,1.6,1.8,2,2.3,2.5,2.6,2.9,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,5.8,6.1,6.4,6.7
E01000024,Domestic battery capacity,kW,0,0,0,0.2,0.5,0.8,1.3,1.8,2.4,2.9,3.5,4,4.5,5,5.5,5.8,6.3,6.7,7.3,7.9,8.5,9.1,9.9,10.5,11.3,12,12.7,13.4,14.1,14.6
E01000025,Domestic battery capacity,kW,0,0,0,0.1,0.3,1.1,2.2,3.5,4.7,6,7.2,8.5,9.6,10.8,12,12.4,13.5,14.5,15.9,17.2,18.6,20.1,21.8,23.4,25,26.9,28.3,30.1,31.6,32.8
E01000027,Domestic battery capacity,kW,0,0,0.1,0.4,1,2.5,4.4,6.5,8.6,10.8,12.9,15,16.8,18.7,20.3,21.2,22.7,24,25.6,27.2,29.1,31.2,33.7,35.9,38.3,40.9,43.1,45.5,47.6,49.2
E01000028,Domestic battery capacity,kW,0,0,0,0.2,0.4,0.7,1.1,1.6,2.1,2.6,3.1,3.6,4,4.5,5,5.3,5.7,6.1,6.6,7.2,7.7,8.3,9,9.6,10.2,11,11.5,12.2,12.8,13.3
E01000029,Domestic battery capacity,kW,0,0,0,0.1,0.3,0.6,1.1,1.7,2.2,2.8,3.3,3.9,4.3,4.8,5.2,5.5,5.8,6.2,6.6,7,7.5,8,8.7,9.2,9.9,10.5,11.1,11.7,12.3,12.7
E01000030,Domestic battery capacity,kW,0,0,0.1,0.3,0.7,1.8,3.3,5,6.6,8.3,10,11.7,13.1,14.6,15.8,16.4,17.6,18.7,19.9,21.2,22.7,24.3,26.3,28,29.9,32,33.6,35.5,37.2,38.5
