LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Non-domestic heat pump,Number,0,0,2,4,6,7,8,9,11,12,13,15,16,17,21,25,28,31,33,34,35,36,36,36,35,36,38,39,40,41
E01000002,Non-domestic heat pump,Number,0,1,3,6,9,10,12,14,16,18,20,23,25,26,33,39,44,48,52,54,56,56,57,56,55,58,60,62,64,64
E01000003,Non-domestic heat pump,Number,0,0,2,4,7,7,7,8,8,8,9,9,9,10,11,13,14,15,15,16,16,17,17,17,16,17,18,18,19,19
E01000005,Non-domestic heat pump,Number,0,1,7,14,21,23,26,29,32,36,40,43,47,50,61,70,78,84,89,93,96,97,98,98,97,101,105,108,112,113
E01000006,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3
E01000007,Non-domestic heat pump,Number,0,0,2,4,5,6,6,6,7,7,8,8,9,9,13,18,22,25,29,33,37,40,44,48,51,55,58,62,65,65
E01000008,Non-domestic heat pump,Number,0,0,1,2,3,3,3,4,4,5,5,6,6,7,11,15,19,23,27,30,34,37,41,44,48,51,54,58,61,61
E01000009,Non-domestic heat pump,Number,0,0,1,3,4,4,5,5,5,5,6,6,6,7,9,10,12,13,14,15,15,16,16,16,16,17,17,18,19,19
E01000010,Non-domestic heat pump,Number,0,1,6,11,16,17,18,19,20,22,23,24,26,27,34,40,45,49,53,56,58,59,60,61,61,63,66,68,70,70
E01000011,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
E01000012,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,3,3,3,3,3,3,5,7,8,10,12,13,15,16,18,19,20,22,23,25,26,26
E01000013,Non-domestic heat pump,Number,3,3,5,6,8,9,9,10,10,11,12,13,14,14,18,21,24,28,31,34,37,40,43,46,49,52,55,58,61,61
