LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,EV % of cars,Percentage,0.1638,0.2665,0.3504,0.4006,0.4548,0.5183,0.5843,0.6527,0.7187,0.7889,0.8587,0.9199,0.978,0.9973,0.9945,0.9945,0.9946,0.9918,0.9892,0.9865,0.9838,0.9812,0.9812,0.9786,0.9733,0.9707,0.9682,0.9656,0.9631,0.9579
E01000002,EV % of cars,Percentage,0.1634,0.2652,0.3516,0.4,0.4578,0.519,0.5827,0.6496,0.7177,0.7909,0.8583,0.9227,0.9814,0.9974,0.9947,0.9947,0.9921,0.9921,0.9869,0.9844,0.9844,0.9819,0.9793,0.9768,0.9743,0.9718,0.9693,0.9668,0.9618,0.9594
E01000003,EV % of cars,Percentage,0.1593,0.2678,0.3533,0.3967,0.4595,0.5161,0.586,0.6524,0.7181,0.7926,0.8571,0.9259,0.9789,1,0.9948,0.9896,0.9948,0.9896,0.9896,0.9845,0.9845,0.9795,0.9795,0.9745,0.9745,0.9695,0.9695,0.9545,0.9596,0.9598
E01000005,EV % of cars,Percentage,0.1654,0.2656,0.3516,0.4031,0.4574,0.5154,0.5846,0.6489,0.7176,0.7939,0.8636,0.9167,0.9774,1,1,0.9925,0.9925,0.9925,0.9852,0.9852,0.9853,0.9779,0.9779,0.9781,0.9781,0.9708,0.9638,0.9638,0.9638,0.9568
E01000006,EV % of cars,Percentage,0.0327,0.057,0.0913,0.1414,0.1992,0.2625,0.3293,0.3964,0.4663,0.5375,0.6075,0.6699,0.7294,0.7793,0.8246,0.8602,0.8915,0.9188,0.9345,0.95,0.9598,0.9675,0.9695,0.9715,0.9715,0.9698,0.966,0.9642,0.9624,0.9587
E01000007,EV % of cars,Percentage,0.0451,0.0742,0.1146,0.1644,0.2216,0.2841,0.3525,0.4179,0.4886,0.5606,0.6295,0.6911,0.7519,0.8034,0.8467,0.8827,0.9145,0.937,0.9556,0.9687,0.9779,0.9817,0.9799,0.9745,0.9727,0.971,0.9675,0.9639,0.9604,0.9569
E01000008,EV % of cars,Percentage,0.045,0.0752,0.1154,0.1653,0.2229,0.286,0.3513,0.4195,0.4891,0.5613,0.628,0.6935,0.7515,0.8008,0.8463,0.8835,0.911,0.9363,0.9538,0.9674,0.9789,0.979,0.9771,0.9753,0.9735,0.9716,0.968,0.9643,0.9625,0.9588
E01000009,EV % of cars,Percentage,0.0333,0.0574,0.0923,0.1425,0.1987,0.263,0.3275,0.3974,0.4645,0.5365,0.6081,0.6695,0.7277,0.7797,0.8245,0.8629,0.8929,0.9161,0.9351,0.9479,0.9605,0.9668,0.9711,0.9732,0.9712,0.9692,0.9672,0.9633,0.9593,0.9573
E01000010,EV % of cars,Percentage,0.0456,0.0756,0.1161,0.1649,0.2244,0.2851,0.3517,0.4207,0.4884,0.5609,0.6297,0.6931,0.7484,0.8029,0.845,0.8825,0.9136,0.9365,0.953,0.9694,0.9776,0.9797,0.9798,0.9758,0.9738,0.9699,0.9679,0.9621,0.9602,0.9583
E01000011,EV % of cars,Percentage,0.0349,0.0561,0.0907,0.1406,0.1958,0.2605,0.3281,0.3979,0.4674,0.5351,0.6062,0.6693,0.7294,0.7815,0.8256,0.8597,0.8931,0.9137,0.9367,0.9495,0.9597,0.9673,0.9699,0.9725,0.9726,0.9701,0.9677,0.9653,0.9605,0.9581
E01000012,EV % of cars,Percentage,0.0456,0.0756,0.1161,0.1649,0.2244,0.2851,0.3517,0.4207,0.4884,0.5609,0.6297,0.6931,0.7484,0.8029,0.845,0.8825,0.9136,0.9365,0.953,0.9694,0.9776,0.9797,0.9798,0.9758,0.9738,0.9699,0.9679,0.9621,0.9602,0.9583
