GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.338,0.338,0.338,0.338,0.338,0.338,0.321,0.321,0.321,0.286,0.286,0.254,0.202,0.185,0.185,0.167,0.167,0.151,0.151,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bramford,120.975,121.059,121.144,121.228,121.312,121.396,115.486,115.486,115.486,102.756,102.756,91.39,72.746,66.381,66.381,60.016,60.016,54.106,54.106,48.195,48.195,48.195,48.195,48.195,48.195,48.195,48.195
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burwell,38.312,38.312,38.312,38.312,38.312,38.312,36.447,36.447,36.447,32.429,32.429,28.842,22.958,20.949,20.949,18.941,18.941,17.075,17.075,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21
Eaton Socon,0.156,7.423,7.458,7.493,7.528,7.563,7.195,7.195,7.195,6.402,6.402,5.694,4.532,4.136,4.136,3.739,3.739,3.371,3.371,3.003,3.003,3.003,3.003,3.003,3.003,3.003,3.003
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.025,0.05,0.075,0.1,0.125,0.119,0.119,0.119,0.106,0.106,0.094,0.075,0.068,0.068,0.062,0.062,0.056,0.056,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Elstree 3&4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.288,0.386,0.485,0.583,0.682,0.78,0.742,0.742,0.742,0.66,0.66,0.587,0.467,0.426,0.426,0.386,0.386,0.348,0.348,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Norwich,3.472,3.502,3.532,3.562,3.592,3.622,3.445,3.445,3.445,3.066,3.066,2.727,2.17,1.98,1.98,1.791,1.791,1.614,1.614,1.438,1.438,1.438,1.438,1.438,1.438,1.438,1.438
Pelham and Wymondley,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,2.6,2.6,2.6,2.6,2.6,2.473,2.473,2.473,2.201,2.201,1.957,1.558,1.422,1.422,1.285,1.285,1.159,1.159,1.032,1.032,1.032,1.032,1.032,1.032,1.032,1.032
Rayleigh,0.0,1.32,2.64,3.96,5.28,6.6,6.279,6.279,6.279,5.587,5.587,4.969,3.955,3.609,3.609,3.263,3.263,2.942,2.942,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62
Rye House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundon,73.949,66.717,66.717,66.717,66.717,66.717,63.469,63.469,63.469,56.473,56.473,50.226,39.98,36.482,36.482,32.984,32.984,29.735,29.735,26.487,26.487,26.487,26.487,26.487,26.487,26.487,26.487
Tilbury 1&7,60.0,60.0,60.0,60.0,60.0,60.0,57.079,57.079,57.079,50.788,50.788,45.17,35.956,32.81,32.81,29.664,29.664,26.743,26.743,23.822,23.822,23.822,23.822,23.822,23.823,23.823,23.823
Tilbury 2&8,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.009,0.01,0.011,0.011
Tottenham,0.0,0.074,0.147,0.221,0.295,0.369,0.351,0.351,0.351,0.312,0.312,0.278,0.221,0.202,0.202,0.182,0.182,0.164,0.164,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146
Walpole,0.192,0.192,0.192,0.192,0.192,0.192,0.183,0.183,0.183,0.163,0.163,0.145,0.115,0.105,0.105,0.095,0.095,0.086,0.086,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076
Warley,0.442,0.442,0.442,0.442,0.442,0.442,0.42,0.42,0.42,0.374,0.374,0.333,0.265,0.242,0.242,0.219,0.219,0.197,0.197,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176
Watford South 2 and 4,0.202,0.202,0.202,0.202,0.202,0.202,0.192,0.192,0.192,0.171,0.171,0.152,0.121,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
West Thurrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
