GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,5.0,10.0,15.0,9.739,9.634,9.634,9.634,5.874,5.874,5.705,5.705,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,3.707,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,10.047,10.0,10.0,10.0,6.493,6.422,6.422,6.422,3.916,3.916,3.803,3.803,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,2.471,0.0,0.0
Bramford,13.47,14.002,14.803,15.605,10.132,10.022,10.022,10.022,6.11,6.11,5.935,5.935,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,3.857,0.0,0.0
Brimsdown (EPN),22.675,22.535,22.535,22.535,14.632,14.473,14.473,14.473,8.824,8.824,8.57,8.57,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,5.569,0.0,0.0
Burwell,19.977,19.532,19.532,19.532,12.682,12.544,12.544,12.544,7.648,7.648,7.428,7.428,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,4.827,0.0,0.0
Eaton Socon,2.255,7.288,7.288,7.288,4.732,4.681,4.681,4.681,2.854,2.854,2.772,2.772,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,1.801,0.0,0.0
Elstree 1&2 and 8&9 and Watford South 3A&3B,35.741,35.0,35.0,35.0,22.725,22.479,22.479,22.479,13.705,13.705,13.311,13.311,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,8.65,0.0,0.0
Elstree 3&4,14.208,14.022,14.022,14.022,9.105,9.006,9.006,9.006,5.491,5.491,5.333,5.333,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,3.466,0.0,0.0
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,1.223,1.2,1.2,1.2,0.779,0.771,0.771,0.771,0.47,0.47,0.456,0.456,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.0,0.0
Norwich,452.917,442.629,442.629,442.629,287.394,284.276,284.276,284.276,173.322,173.322,168.333,168.333,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,109.393,0.0,0.0
Pelham and Wymondley,45.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,45.852,47.352,48.852,31.719,31.375,31.375,31.375,19.129,19.129,18.579,18.579,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,12.073,0.0,0.0
