GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,2.38,2.399,2.399,2.354,2.315,2.29,2.238,2.121,1.966,1.772,1.643,1.63,1.41,1.177,1.074,1.061,1.048,1.048,0.97,0.854,0.854,0.854,0.841,0.841,0.841,0.841,0.841
Bramford,83.761,84.811,84.844,82.947,81.58,80.669,78.846,74.744,69.274,62.439,57.88,57.425,49.677,41.473,37.829,37.372,36.915,36.915,34.18,30.08,30.08,30.08,29.624,29.624,29.624,29.624,29.624
Brimsdown (EPN),3.0,3.034,3.034,2.967,2.919,2.886,2.821,2.674,2.478,2.234,2.071,2.054,1.777,1.484,1.353,1.337,1.321,1.321,1.223,1.076,1.076,1.076,1.06,1.06,1.06,1.06,1.06
Burwell,9.101,9.242,9.242,9.002,8.854,8.755,8.557,8.112,7.518,6.777,6.282,6.232,5.392,4.501,4.106,4.056,4.006,4.006,3.71,3.265,3.265,3.265,3.215,3.215,3.215,3.215,3.215
Eaton Socon,11.653,16.155,16.155,15.949,15.686,15.511,15.161,14.372,13.32,12.006,11.129,11.042,9.552,7.975,7.274,7.186,7.098,7.098,6.572,5.784,5.784,5.784,5.696,5.696,5.696,5.696,5.696
Elstree 1&2 and 8&9 and Watford South 3A&3B,1.8,1.815,1.815,1.78,1.751,1.732,1.692,1.604,1.487,1.34,1.242,1.233,1.066,0.89,0.812,0.802,0.792,0.792,0.734,0.646,0.646,0.646,0.636,0.636,0.636,0.636,0.636
Elstree 3&4,2.0,2.289,2.564,2.77,2.724,2.694,2.633,2.496,2.313,2.085,1.933,1.917,1.659,1.385,1.263,1.248,1.233,1.233,1.141,1.004,1.004,1.004,0.989,0.989,0.989,0.989,0.989
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,15.761,15.857,15.857,15.59,15.333,15.162,14.819,14.048,13.02,11.735,10.879,10.793,9.337,7.795,7.11,7.024,6.938,6.938,6.424,5.654,5.654,5.654,5.568,5.568,5.568,5.568,5.568
Pelham and Wymondley,25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,25.535,25.535,25.253,24.837,24.559,24.004,22.755,21.09,19.009,17.621,17.483,15.124,12.626,11.517,11.378,11.239,11.239,10.406,9.158,9.158,9.158,9.019,9.019,9.019,9.019,9.019
Rayleigh,12.553,12.569,12.569,12.417,12.212,12.076,11.803,11.189,10.37,9.347,8.665,8.596,7.437,6.208,5.663,5.595,5.526,5.526,5.117,4.503,4.503,4.503,4.435,4.435,4.435,4.435,4.435
Rye House,25.193,25.285,25.285,24.92,24.509,24.235,23.688,22.455,20.812,18.759,17.389,17.252,14.924,12.46,11.365,11.228,11.09,11.09,10.269,9.037,9.037,9.037,8.9,8.9,8.9,8.9,8.9
Sundon,34.16,29.693,29.693,29.367,28.883,28.56,27.915,26.462,24.526,22.106,20.492,20.331,17.588,14.683,13.393,13.231,13.07,13.07,12.101,10.65,10.65,10.65,10.488,10.488,10.488,10.488,10.488
Tilbury 1&7,7.89,7.976,7.976,7.804,7.676,7.59,7.418,7.033,6.518,5.875,5.446,5.403,4.674,3.902,3.559,3.516,3.473,3.473,3.216,2.83,2.83,2.83,2.787,2.787,2.787,2.787,2.787
Tilbury 2&8,21.0,21.228,21.228,20.772,20.43,20.201,19.745,18.718,17.348,15.636,14.495,14.381,12.44,10.386,9.473,9.359,9.244,9.244,8.56,7.533,7.533,7.533,7.419,7.419,7.419,7.419,7.419
Tottenham,1.5,1.5,1.5,1.484,1.459,1.443,1.41,1.337,1.239,1.117,1.035,1.027,0.889,0.742,0.677,0.668,0.66,0.66,0.611,0.538,0.538,0.538,0.53,0.53,0.53,0.53,0.53
Walpole,81.491,82.097,82.097,80.607,79.278,78.393,76.621,72.635,67.32,60.677,56.247,55.805,48.275,40.303,36.761,36.318,35.874,35.874,33.216,29.232,29.232,29.232,28.788,28.788,28.788,28.788,28.788
Warley,40.34,40.412,40.414,39.902,39.244,38.806,37.929,35.956,33.325,30.036,27.843,27.625,23.897,19.951,18.198,17.978,17.758,17.758,16.442,14.47,14.47,14.47,14.251,14.251,14.251,14.251,14.251
Watford South 2 and 4,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Thurrock,4.45,4.45,4.45,4.402,4.329,4.281,4.184,3.966,3.676,3.313,3.071,3.047,2.636,2.201,2.007,1.983,1.959,1.959,1.814,1.596,1.596,1.596,1.572,1.572,1.572,1.572,1.572
