GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.006,0.006,0.008,0.006,0.006,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.013,0.013,0.017,0.017,0.013,0.013,0.013,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,1.509,2.011,2.011,2.514,2.088,2.088,1.662,0.81,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bramford,29.337,29.337,29.337,29.337,29.337,29.337,29.337,29.363,29.419,29.448,29.448,29.475,29.442,29.442,29.41,29.344,29.337,29.172,29.029,28.822,28.05,27.278,27.021,25.735,24.705,23.676,21.874
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.177,0.236,0.236,0.295,0.226,0.226,0.157,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burwell,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.283,0.372,0.418,0.418,0.462,0.41,0.41,0.358,0.253,0.239,0.238,0.237,0.235,0.229,0.222,0.22,0.21,0.201,0.193,0.178
Eaton Socon,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.159,0.162,0.164,0.164,0.164,0.164,0.164,0.162,0.158,0.158,0.158,0.157,0.156,0.151,0.147,0.146,0.139,0.133,0.128,0.118
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elstree 3&4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,1.342,1.342,1.342,1.342,1.342,1.342,1.342,1.364,1.408,1.431,1.431,1.452,1.427,1.427,1.401,1.348,1.342,1.335,1.328,1.319,1.283,1.248,1.236,1.177,1.13,1.083,1.001
Pelham and Wymondley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.014,0.018,0.018,0.022,0.017,0.017,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayleigh,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.977,1.015,1.035,1.035,1.054,1.037,1.037,1.02,0.985,0.971,0.953,0.948,0.941,0.916,0.891,0.882,0.84,0.807,0.773,0.714
Rye House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundon,3.053,3.053,3.053,3.053,3.053,3.053,3.053,3.079,3.133,3.159,3.159,3.186,3.155,3.155,3.124,3.061,3.053,3.036,3.021,2.999,2.919,2.839,2.812,2.678,2.571,2.464,2.276
Tilbury 1&7,0.0,3.6,7.2,10.8,14.4,18.0,18.0,18.35,19.051,19.402,19.402,19.752,19.455,19.455,19.159,18.565,18.269,17.898,17.811,17.684,17.211,16.737,16.579,15.79,15.158,14.527,13.421
Tilbury 2&8,0.0,5.22,10.44,15.66,20.88,26.1,26.1,26.169,26.306,26.375,26.375,26.443,26.385,26.385,26.327,26.211,26.153,25.953,25.826,25.642,24.955,24.269,24.039,22.895,21.979,21.064,19.46
Tottenham,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.602,71.805,72.407,72.407,73.009,72.305,72.305,71.602,70.194,70.0,69.605,69.266,68.772,66.93,65.088,64.474,61.405,58.948,56.492,52.192
Walpole,9.319,9.319,9.319,9.319,9.319,9.319,9.319,9.412,9.599,9.695,9.695,9.787,9.678,9.678,9.568,9.349,9.319,9.266,9.221,9.156,8.91,8.665,8.583,8.175,7.848,7.521,6.948
Warley,0.144,0.144,0.144,0.144,0.144,0.144,0.168,0.193,0.22,0.222,0.246,0.247,0.221,0.221,0.22,0.193,0.168,0.143,0.142,0.141,0.138,0.134,0.133,0.126,0.121,0.116,0.107
Watford South 2 and 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Thurrock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acton Lane 22kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132kV GIS,72.0,72.0,72.0,72.0,72.0,72.0,72.014,72.027,72.041,72.041,72.054,72.054,72.041,72.041,72.041,72.027,72.014,71.594,71.245,70.737,68.842,66.948,66.316,63.159,60.633,58.106,53.683
Barking West 33kV,17.296,17.296,17.296,17.296,17.296,17.296,17.943,18.59,19.238,19.238,19.884,19.884,19.238,19.238,19.238,18.59,17.943,17.198,17.115,16.992,16.537,16.082,15.931,15.172,14.565,13.958,12.896
Beddington 132kV Hurst 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bengeworth Road 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimsdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Road 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney Supergrid 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islington 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Littlebrook 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.393,0.59,0.59,0.787,0.787,0.59,0.59,0.59,0.393,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
