GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.052,0.052,0.052,0.0,0.019,0.019,0.019,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
Barking 132,0.0,7.5,15.0,22.058,21.679,21.321,20.963,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,10.047,10.047,10.047,9.804,9.875,9.716,9.557,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006,6.006
Bramford,13.47,14.672,15.958,16.477,16.725,16.458,16.19,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296,10.296
Brimsdown (EPN),22.675,22.675,22.675,22.092,22.59,22.231,21.873,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072,14.072
Burwell,19.977,19.977,19.977,19.148,19.015,18.704,18.393,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294,11.294
Eaton Socon,2.255,7.543,7.543,7.145,7.363,7.247,7.131,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643,4.643
Elstree 1&2 and 8&9 and Watford South 3A&3B,35.741,35.741,35.741,34.312,33.931,33.374,32.818,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009,20.009
Elstree 3&4,14.208,14.208,14.208,13.747,13.695,13.472,13.249,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178,8.178
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,1.223,1.223,1.223,1.176,1.156,1.137,1.118,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
Norwich,452.917,452.917,452.917,433.932,426.912,419.873,412.834,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542,249.542
Pelham and Wymondley,45.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,47.44,49.85,50.098,50.723,49.91,49.098,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107,31.107
Rayleigh,3.763,6.326,8.89,11.167,12.142,11.96,11.779,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271,8.271
Rye House,29.634,59.604,89.574,116.685,115.555,113.662,111.77,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316,68.316
Sundon,23.194,32.903,47.9,61.508,63.001,62.004,61.006,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352,39.352
Tilbury 1&7,0.0,0.0,0.0,0.0,1.66,1.66,1.66,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656,2.656
Tilbury 2&8,16.0,28.0,40.0,50.978,50.448,49.621,48.795,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794,29.794
Tottenham,26.252,26.252,26.252,25.684,26.321,25.904,25.488,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455,16.455
Walpole,718.148,718.432,718.717,680.711,669.469,658.427,647.386,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092,391.092
Warley,37.681,37.681,37.681,36.227,37.234,36.647,36.059,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385,23.385
Watford South 2 and 4,0.014,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Thurrock,17.029,17.029,17.029,16.666,16.735,16.464,16.194,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125
Willesden,5.006,5.006,5.006,4.902,5.352,5.273,5.193,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881
Acton Lane 22kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West 33kV,0.602,0.602,0.602,0.0,0.019,0.019,0.019,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
Beddington 132kV Hurst 132kV,0.0,0.0,0.0,0.0,0.287,0.287,0.287,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575
Bengeworth Road 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimsdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Road 132kV,0.666,0.666,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney Supergrid 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
