GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.412,0.665,0.904,1.158,1.364,1.596,1.83,2.069,2.304,2.517,2.762,2.975,3.23,3.474,3.71,3.947,4.198,4.458,4.704,4.987
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.017,0.028,0.039,0.048,0.058,0.067,0.078,0.086,0.097,0.106,0.116,0.125,0.136,0.146,0.156,0.166,0.176,0.187,0.197,0.21
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.047,0.078,0.106,0.135,0.16,0.187,0.214,0.242,0.27,0.295,0.323,0.349,0.378,0.407,0.435,0.462,0.492,0.521,0.552,0.585
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.331,0.534,0.726,0.926,1.093,1.279,1.468,1.658,1.847,2.017,2.215,2.386,2.589,2.783,2.976,3.164,3.366,3.573,3.773,3.999
Bramford,40.9,40.98,41.06,41.14,41.22,41.3,45.585,50.224,55.699,60.897,66.353,70.814,75.831,80.954,86.084,91.212,95.841,101.127,105.748,111.245,116.531,121.658,126.778,132.225,137.846,143.176,149.335
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.299,0.481,0.655,0.839,0.987,1.154,1.325,1.499,1.67,1.822,2.0,2.154,2.338,2.513,2.685,2.858,3.038,3.224,3.403,3.61
Burwell,30.76,30.76,30.76,30.76,30.76,30.76,31.045,31.352,31.714,32.052,32.415,32.708,33.042,33.381,33.719,34.055,34.365,34.711,35.017,35.38,35.733,36.069,36.407,36.768,37.14,37.491,37.899
Eaton Socon,51.05,51.296,51.542,51.788,52.034,52.28,52.827,53.43,54.129,54.798,55.496,56.073,56.714,57.373,58.033,58.69,59.285,59.964,60.555,61.265,61.939,62.602,63.256,63.955,64.679,65.363,66.154
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.307,0.5,0.678,0.866,1.019,1.193,1.369,1.543,1.722,1.881,2.066,2.224,2.414,2.592,2.771,2.949,3.135,3.329,3.511,3.725
Elstree 3&4,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.33,0.534,0.727,0.927,1.092,1.279,1.47,1.659,1.849,2.018,2.216,2.385,2.591,2.787,2.974,3.166,3.366,3.575,3.771,4.001
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
