GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,2.38,2.38,2.38,2.38,2.38,2.389,2.389,2.38,2.292,2.191,2.103,2.103,2.04,1.864,1.801,1.801,1.801,1.801,1.801,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
Bramford,83.761,83.857,83.953,84.049,84.049,84.543,84.543,84.05,80.937,77.38,74.268,74.268,72.044,65.816,63.592,63.592,63.592,63.592,63.592,61.814,61.814,61.814,61.814,61.814,61.814,61.814,61.814
Brimsdown (EPN),3.0,3.0,3.0,3.0,3.0,3.017,3.017,3.0,2.889,2.762,2.651,2.651,2.571,2.349,2.27,2.27,2.27,2.27,2.27,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206
Burwell,9.101,9.101,9.101,9.101,9.101,9.171,9.171,9.101,8.764,8.379,8.042,8.042,7.801,7.127,6.886,6.886,6.886,6.886,6.886,6.693,6.693,6.693,6.693,6.693,6.693,6.693,6.693
Eaton Socon,11.653,16.124,16.124,16.124,16.124,16.139,16.139,16.124,15.527,14.845,14.248,14.248,13.821,12.626,12.2,12.2,12.2,12.2,12.2,11.859,11.859,11.859,11.859,11.859,11.859,11.859,11.859
Elstree 1&2 and 8&9 and Watford South 3A&3B,1.8,1.8,1.8,1.8,1.8,1.807,1.807,1.8,1.733,1.657,1.591,1.591,1.543,1.41,1.362,1.362,1.362,1.362,1.362,1.324,1.324,1.324,1.324,1.324,1.324,1.324,1.324
Elstree 3&4,2.0,2.8,3.6,4.4,4.4,4.432,4.432,4.409,4.237,4.051,3.888,3.888,3.772,3.445,3.329,3.329,3.329,3.329,3.329,3.236,3.236,3.236,3.236,3.236,3.236,3.236,3.236
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,15.761,15.761,15.761,15.761,15.761,15.808,15.808,15.761,15.178,14.51,13.927,13.927,13.51,12.342,11.925,11.925,11.925,11.925,11.925,11.591,11.591,11.591,11.591,11.591,11.591,11.591,11.591
Pelham and Wymondley,25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,25.53,25.53,25.53,25.53,25.533,25.533,25.53,24.585,23.504,22.559,22.559,21.883,19.992,19.316,19.316,19.316,19.316,19.316,18.776,18.776,18.776,18.776,18.776,18.776,18.776,18.776
Rayleigh,12.553,12.553,12.553,12.553,12.553,12.561,12.561,12.553,12.088,11.557,11.092,11.092,10.76,9.83,9.498,9.498,9.498,9.498,9.498,9.232,9.232,9.232,9.232,9.232,9.232,9.232,9.232
Rye House,25.193,25.193,25.193,25.193,25.193,25.239,25.239,25.193,24.261,23.194,22.261,22.261,21.595,19.728,19.061,19.061,19.061,19.061,19.061,18.528,18.528,18.528,18.528,18.528,18.528,18.528,18.528
Sundon,34.16,29.689,29.689,29.689,29.689,29.691,29.691,29.689,28.59,27.333,26.234,26.234,25.448,23.248,22.463,22.463,22.463,22.463,22.463,21.835,21.835,21.835,21.835,21.835,21.835,21.835,21.835
Tilbury 1&7,7.89,7.89,7.89,7.89,7.89,7.932,7.932,7.89,7.598,7.264,6.972,6.972,6.763,6.178,5.97,5.97,5.97,5.97,5.97,5.803,5.803,5.803,5.803,5.803,5.803,5.803,5.803
Tilbury 2&8,21.0,21.001,21.001,21.0,21.0,21.109,21.109,21.0,20.222,19.334,18.556,18.556,18.0,16.444,15.889,15.889,15.889,15.889,15.889,15.444,15.444,15.444,15.444,15.444,15.444,15.444,15.444
Tottenham,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.444,1.381,1.325,1.325,1.286,1.175,1.135,1.135,1.135,1.135,1.135,1.103,1.103,1.103,1.103,1.103,1.103,1.103,1.103
Walpole,81.491,81.491,81.491,81.491,81.491,81.786,81.786,81.491,78.474,75.025,72.008,72.008,69.851,63.813,61.657,61.657,61.657,61.657,61.657,59.933,59.933,59.933,59.933,59.933,59.933,59.933,59.933
Warley,40.34,40.345,40.348,40.34,40.34,40.372,40.372,40.34,38.846,37.139,35.645,35.645,34.578,31.589,30.522,30.522,30.522,30.522,30.522,29.668,29.668,29.668,29.668,29.668,29.668,29.668,29.668
Watford South 2 and 4,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Thurrock,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.285,4.097,3.932,3.932,3.814,3.485,3.367,3.367,3.367,3.367,3.367,3.273,3.273,3.273,3.273,3.273,3.273,3.273,3.273
