GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,47.533,44.909,42.447,40.78,40.05,40.05,40.05,39.505,39.233
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.276,4.011,3.762,3.594,3.52,3.52,3.52,3.465,3.438
Bramford,149.72,249.22,249.22,249.22,249.22,249.22,299.12,299.12,299.12,299.12,299.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,300.011,282.026,265.156,253.73,248.727,248.727,248.727,244.995,243.129
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burwell,49.9,79.9,79.9,79.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,73.463,68.909,64.637,61.743,60.476,60.476,60.476,59.531,59.058
Eaton Socon,0.0,68.7,118.5,118.5,118.5,118.5,118.5,118.5,168.4,168.4,168.4,218.3,218.3,218.3,218.3,218.3,218.3,218.3,211.075,208.43,205.948,204.267,203.531,203.531,203.531,202.982,202.708
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elstree 3&4,49.5,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,46.659,43.766,41.053,39.215,38.41,38.41,38.41,37.81,37.51
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,21.0,68.8,168.8,168.8,168.8,168.8,168.8,168.8,218.7,218.7,218.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,236.129,227.863,220.109,214.858,212.558,212.558,212.558,210.843,209.985
Pelham and Wymondley,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,35.0,110.5,110.5,135.5,135.5,135.5,185.499,185.499,185.499,185.499,185.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,171.61,162.862,154.656,149.098,146.664,146.664,146.664,144.849,143.941
Rayleigh,124.8,124.8,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,156.631,150.015,143.808,139.604,137.763,137.763,137.763,136.39,135.703
