GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,31.046,28.781
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.611,2.382
Bramford,149.72,199.72,199.72,199.72,299.22,299.22,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,349.12,187.031,171.508
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burwell,49.9,49.9,49.9,49.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,44.852,40.921
Eaton Socon,0.0,49.9,49.9,49.9,118.6,118.6,168.4,168.4,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,218.3,194.455,192.171
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elstree 3&4,49.5,49.5,49.5,49.5,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,54.558,28.487,25.99
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,21.0,46.0,61.0,61.0,108.8,108.8,108.8,208.8,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,258.7,184.202,177.068
Pelham and Wymondley,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,35.0,120.5,120.5,120.5,120.5,120.5,145.5,145.5,145.5,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,195.499,116.653,109.102
