LSOA21CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.009,0.028,0.052,0.077,0.108,0.13,0.166,0.187,0.223,0.264,0.27,0.316,0.356,0.421,0.486,0.562,0.641,0.727,0.814,0.902,1.009,1.089,1.167,1.265,1.339
E01000002,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.02,0.066,0.119,0.178,0.249,0.301,0.383,0.432,0.516,0.61,0.625,0.73,0.823,0.972,1.123,1.299,1.482,1.682,1.882,2.084,2.333,2.517,2.698,2.924,3.096
E01000003,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.001,0.003,0.005,0.007,0.01,0.012,0.016,0.018,0.021,0.025,0.026,0.03,0.034,0.04,0.046,0.054,0.061,0.07,0.078,0.086,0.097,0.104,0.112,0.121,0.128
E01000005,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.002,0.005,0.01,0.015,0.021,0.025,0.032,0.036,0.043,0.051,0.052,0.061,0.068,0.081,0.093,0.108,0.123,0.139,0.156,0.173,0.193,0.209,0.224,0.242,0.257
E01000006,Domestic battery capacity,Hydrogen Evolution,Medium,kW,8.324,9.893,11.713,12.93,13.295,13.722,14.191,14.751,15.162,15.814,16.206,16.868,17.622,17.736,18.573,19.308,20.498,21.697,23.093,24.547,26.132,27.726,29.33,31.308,32.77,34.201,36.003,37.363
E01000007,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.128,0.428,0.777,1.161,1.62,1.957,2.491,2.812,3.354,3.972,4.065,4.751,5.353,6.327,7.31,8.453,9.644,10.942,12.248,13.562,15.182,16.379,17.552,19.028,20.141
E01000008,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.029,0.098,0.178,0.267,0.372,0.449,0.572,0.646,0.77,0.912,0.933,1.091,1.229,1.453,1.678,1.941,2.214,2.512,2.812,3.114,3.486,3.761,4.03,4.369,4.625
E01000009,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.245,0.816,1.483,2.215,3.091,3.733,4.753,5.365,6.399,7.577,7.756,9.064,10.212,12.071,13.946,16.128,18.4,20.876,23.368,25.874,28.965,31.249,33.486,36.302,38.427
E01000011,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.147,0.489,0.888,1.327,1.851,2.235,2.846,3.213,3.832,4.538,4.645,5.428,6.116,7.229,8.352,9.658,11.019,12.502,13.994,15.495,17.346,18.714,20.053,21.74,23.012
E01000012,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.122,0.405,0.736,1.1,1.535,1.854,2.36,2.664,3.178,3.763,3.851,4.501,5.071,5.994,6.925,8.008,9.137,10.366,11.603,12.848,14.383,15.517,16.628,18.026,19.081
