LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,1,1,2,3,3,4,4,5,5,6,6,8,9,11,12,13,15,16,17,18,19,20,22,23,24,25,25
E01000002,0,1,1,2,2,2,3,3,3,3,4,6,8,9,11,13,15,17,19,21,22,24,26,28,30,32,32
E01000003,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
E01000005,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,6,7,7,8,8
E01000006,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,15
E01000007,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,5,6,6,7,7,8,8,9,10,10
E01000008,0,1,1,2,2,2,3,3,3,3,3,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,20
E01000009,0,1,2,2,3,3,4,4,5,5,5,7,9,11,13,14,16,18,19,21,23,24,26,27,29,31,31
E01000011,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,6,7,8,9,9,10,11,12,13,13,13
E01000012,1,1,2,2,2,3,3,3,4,4,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22
E01000013,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,5,6,7,7,8,9,10,11,11,12,13,13
E01000014,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
E01000015,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14
E01000016,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,10
E01000017,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3
E01000018,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4
E01000020,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,5,6,7,8,9,10,11,12,12,13,14,14
E01000021,0,0,1,1,1,1,2,2,2,2,2,4,5,7,8,10,11,13,15,16,18,19,21,22,24,25,25
E01000022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3
E01000024,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4
E01000025,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,5,6,7,7,8,9,10,10,11,11
E01000027,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,6,7,8,9,9,10,11,12,13,13
E01000028,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4
E01000029,0,0,1,1,1,1,1,1,1,2,2,2,3,4,5,6,6,7,8,9,9,10,11,12,13,13,13
E01000030,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6
E01000031,0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14,15
E01000032,0,0,0,0,0,0,0,1,1,1,1,2,4,6,7,9,11,12,14,16,17,19,21,22,24,25,25
E01000033,0,0,0,1,1,1,1,1,1,1,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,18
E01000034,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5
E01000035,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,6,7,8,9,9,10,11,12,12,12
E01000036,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,7,8,10,11,12,14,15,16,18,19,20,20
E01000037,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
E01000038,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
E01000039,0,0,0,0,0,0,1,1,1,1,1,2,3,5,6,8,9,10,12,13,14,16,17,18,20,21,21
E01000040,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,5,5,6,6,7,7,8,8,9,9
E01000041,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5
E01000042,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,5,6,7,7,8,9,10,11,12,12,13,13
E01000043,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,6,7,8,9,10,10,11,12,13,14,14
E01000044,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,9
E01000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
E01000046,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,5,5,6,7,8,8,9,10,11,11,12,12
E01000049,0,1,1,1,2,2,2,3,3,3,3,4,4,5,6,6,7,8,8,9,9,10,11,11,12,12,12
E01000050,0,1,1,1,2,2,2,2,3,3,3,5,6,8,9,11,12,13,15,16,18,19,20,22,23,25,25
E01000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
E01000052,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,5,5,6,6,7,7,7,8
E01000053,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4,5,5,6,7,8,8,9,10,11,11,12,12
