LSOA21CD,Scenario,Scenario_world,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Low,Counterfactual,I&C battery capacity,kW,0.023,0.026,0.029,0.032,0.035,0.096,0.177,0.273,0.367,0.461,0.553,0.644,0.733,0.822,0.91,0.998,1.085,1.172,1.247,1.291,1.312,1.312,1.296,1.282,1.27,1.26,1.251,1.245
E01000002,Low,Counterfactual,I&C battery capacity,kW,0.035,0.04,0.044,0.049,0.053,0.148,0.271,0.418,0.563,0.706,0.847,0.986,1.123,1.259,1.394,1.528,1.662,1.795,1.909,1.977,2.008,2.009,1.983,1.962,1.944,1.929,1.916,1.905
E01000003,Low,Counterfactual,I&C battery capacity,kW,0.018,0.021,0.023,0.025,0.028,0.077,0.141,0.218,0.294,0.368,0.442,0.514,0.586,0.657,0.727,0.797,0.867,0.937,0.996,1.032,1.048,1.049,1.035,1.024,1.015,1.007,1,0.995
E01000005,Low,Counterfactual,I&C battery capacity,kW,0.071,0.08,0.089,0.098,0.107,0.296,0.543,0.839,1.13,1.417,1.7,1.98,2.256,2.529,2.8,3.071,3.34,3.609,3.837,3.975,4.038,4.039,3.989,3.947,3.911,3.88,3.854,3.834
E01000006,Low,Counterfactual,I&C battery capacity,kW,0.003,0.003,0.004,0.004,0.005,0.012,0.023,0.035,0.047,0.059,0.07,0.081,0.092,0.103,0.114,0.124,0.135,0.145,0.153,0.158,0.16,0.159,0.156,0.154,0.152,0.15,0.148,0.147
E01000007,Low,Counterfactual,I&C battery capacity,kW,0.026,0.029,0.032,0.035,0.039,0.106,0.193,0.297,0.397,0.494,0.589,0.682,0.772,0.86,0.946,1.031,1.114,1.196,1.264,1.301,1.313,1.305,1.28,1.258,1.239,1.221,1.206,1.192
E01000008,Low,Counterfactual,I&C battery capacity,kW,0.02,0.022,0.024,0.027,0.029,0.08,0.145,0.223,0.298,0.372,0.443,0.513,0.58,0.646,0.711,0.775,0.838,0.899,0.95,0.978,0.987,0.981,0.962,0.946,0.931,0.918,0.906,0.896
E01000009,Low,Counterfactual,I&C battery capacity,kW,0.02,0.022,0.024,0.027,0.029,0.08,0.147,0.226,0.302,0.377,0.45,0.521,0.591,0.659,0.726,0.792,0.857,0.921,0.974,1.003,1.014,1.008,0.99,0.974,0.96,0.947,0.936,0.926
E01000011,Low,Counterfactual,I&C battery capacity,kW,0.005,0.006,0.006,0.007,0.008,0.021,0.038,0.059,0.079,0.098,0.117,0.135,0.153,0.171,0.188,0.205,0.221,0.238,0.251,0.258,0.261,0.259,0.254,0.25,0.246,0.243,0.239,0.237
E01000012,Low,Counterfactual,I&C battery capacity,kW,0.01,0.011,0.012,0.014,0.015,0.041,0.074,0.114,0.152,0.189,0.226,0.261,0.296,0.329,0.362,0.395,0.427,0.458,0.484,0.498,0.503,0.5,0.49,0.482,0.474,0.468,0.462,0.456
E01000013,Low,Counterfactual,I&C battery capacity,kW,0.223,0.234,0.245,0.256,0.266,0.506,0.816,1.184,1.542,1.894,2.238,2.576,2.907,3.231,3.552,3.869,4.182,4.492,4.746,4.9,4.973,4.979,4.929,4.888,4.853,4.825,4.802,4.784
E01000014,Low,Counterfactual,I&C battery capacity,kW,0.083,0.087,0.091,0.095,0.099,0.188,0.304,0.441,0.574,0.705,0.833,0.959,1.082,1.203,1.322,1.44,1.557,1.673,1.768,1.825,1.852,1.855,1.836,1.821,1.808,1.798,1.79,1.783
E01000015,Low,Counterfactual,I&C battery capacity,kW,0.107,0.112,0.118,0.123,0.128,0.243,0.392,0.569,0.741,0.909,1.075,1.236,1.395,1.55,1.704,1.855,2.005,2.153,2.274,2.347,2.381,2.383,2.358,2.337,2.32,2.306,2.294,2.285
