LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,0.0,0.0,0.008,0.162,0.356,0.541,0.748,0.959,1.168,1.353,1.552,1.753,1.936,2.138,2.334,2.547,2.736,2.942,3.134,3.329,3.521,3.715,3.923,4.104,4.291,4.488,4.668
E01000002,0.0,0.0,0.019,0.327,0.712,1.084,1.494,1.909,2.325,2.686,3.084,3.485,3.839,4.243,4.63,5.059,5.442,5.86,6.253,6.655,7.05,7.449,7.881,8.251,8.635,9.041,9.409
E01000003,0.0,0.0,0.001,0.014,0.03,0.045,0.061,0.078,0.096,0.11,0.126,0.143,0.157,0.174,0.19,0.207,0.223,0.24,0.257,0.273,0.289,0.306,0.323,0.339,0.354,0.372,0.386
E01000005,0.0,0.0,0.002,0.027,0.059,0.089,0.123,0.157,0.191,0.222,0.255,0.288,0.317,0.35,0.381,0.417,0.449,0.483,0.515,0.548,0.581,0.614,0.649,0.68,0.712,0.745,0.776
E01000006,37.334,38.141,38.739,39.078,39.518,40.743,42.626,44.647,47.413,49.952,52.879,55.916,57.502,60.966,64.204,67.776,71.254,75.029,78.849,82.756,86.649,90.619,94.872,98.678,102.628,106.783,110.66
E01000007,0.0,0.0,0.121,3.961,9.011,13.632,18.357,22.749,27.551,31.853,36.13,40.305,44.088,48.388,52.371,56.442,60.356,64.472,68.561,72.638,76.67,80.732,84.998,88.87,92.834,96.943,100.8
E01000008,0.0,0.0,0.028,0.914,2.079,3.147,4.237,5.251,6.359,7.353,8.34,9.304,10.178,11.17,12.09,13.029,13.932,14.881,15.825,16.765,17.696,18.632,19.616,20.509,21.424,22.37,23.261
E01000009,0.0,0.0,0.23,7.718,17.57,26.584,35.799,44.375,53.741,62.146,70.486,78.627,86.026,94.412,102.186,110.111,117.734,125.747,133.702,141.627,149.465,157.363,165.649,173.182,180.893,188.876,196.383
E01000011,9.526,9.731,9.984,13.084,17.492,21.736,26.235,30.491,35.281,39.595,43.979,48.304,51.935,56.476,60.692,65.06,69.271,73.728,78.172,82.623,87.034,91.491,96.189,100.444,104.814,109.355,113.618
E01000012,9.756,9.966,10.198,12.448,15.745,18.976,22.445,25.741,29.489,32.864,36.323,39.747,42.546,46.161,49.516,53.014,56.388,59.968,63.542,67.13,70.687,74.282,78.08,81.513,85.043,88.715,92.157
E01000013,29.606,30.567,33.645,50.124,71.357,128.994,286.968,448.696,616.061,1279.343,1303.629,1326.527,1342.823,1365.66,1386.346,1408.58,1429.862,1455.854,1482.082,1510.873,1538.3,1566.458,1597.07,1623.025,1650.506,1677.846,1702.092
E01000014,17.256,17.816,19.924,32.059,47.578,62.499,77.962,91.905,107.811,120.499,134.811,148.261,157.283,170.895,183.14,196.67,209.567,225.669,241.893,259.893,276.822,294.158,313.096,328.683,345.277,361.705,375.925
E01000015,15.691,16.201,17.952,27.721,40.268,55.657,79.694,103.119,128.55,151.68,164.276,176.102,184.212,196.065,206.74,218.395,229.51,243.261,257.11,272.406,286.842,301.625,317.735,331.112,345.317,359.392,371.657
E01000016,66.718,68.886,72.093,78.574,88.293,99.049,111.096,122.17,135.73,146.233,159.073,171.264,178.191,190.87,202.254,215.354,227.887,244.02,260.399,278.87,296.213,314.058,333.717,349.723,366.879,383.895,398.506
E01000017,47.01,48.537,50.071,51.562,53.213,54.995,56.919,58.381,60.843,62.53,65.291,67.988,68.715,71.734,74.429,77.861,81.169,85.725,90.421,95.894,101.013,106.328,112.281,117.023,122.173,127.297,131.628
E01000018,9.061,9.356,10.731,19.292,30.163,40.54,51.245,60.885,71.832,80.582,90.397,99.615,105.865,115.176,123.552,132.78,141.573,152.526,163.556,175.778,187.273,199.041,211.886,222.469,233.728,244.874,254.526
E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,33.053,33.768,34.642,45.05,59.883,74.185,89.366,103.722,119.904,134.459,149.281,163.912,176.14,191.507,205.765,220.568,234.842,249.957,265.031,280.147,295.121,310.252,326.213,340.654,355.488,370.911,385.375
