LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,0.0,0.0,3.296,19.766,28.121,33.153,38.641,41.438,43.841,46.149,48.289,50.362,52.506,54.502,56.485,58.388,60.258,66.809,72.54,78.348,84.06,89.759,95.619,101.008,106.435,111.917,116.079
E01000002,0.0,0.0,9.668,50.897,71.907,84.984,99.131,106.195,112.549,118.438,124.185,129.792,135.222,140.665,146.057,151.443,156.791,174.828,190.442,206.278,221.853,237.401,253.415,268.06,282.813,297.943,309.316
E01000003,0.0,0.0,0.03,0.229,0.349,0.38,0.448,0.485,0.521,0.555,0.592,0.625,0.659,0.692,0.727,0.762,0.799,0.878,0.956,1.038,1.115,1.194,1.276,1.349,1.422,1.5,1.556
E01000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.287,0.311,0.335,0.358,0.382,0.404,0.426,0.449,0.467
E01000006,37.334,48.912,59.773,67.201,77.267,91.391,105.515,119.64,133.728,147.853,161.977,176.101,190.261,204.385,218.509,232.634,246.758,260.882,275.042,289.166,303.29,317.414,331.574,345.698,359.822,373.982,388.106
E01000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000011,9.526,11.243,13.907,32.988,60.043,77.101,94.158,111.215,128.229,145.286,162.344,179.401,196.5,213.558,230.615,247.672,264.729,281.786,298.886,315.943,333.0,350.057,367.157,384.214,401.271,418.371,435.428
E01000012,9.756,10.288,11.031,15.266,21.441,25.599,29.756,33.914,38.061,42.218,46.376,50.533,54.701,58.859,63.016,67.174,71.331,75.489,79.657,83.814,87.972,92.129,96.297,100.454,104.612,108.78,112.937
E01000013,29.606,31.97,40.769,76.131,121.519,152.77,184.021,215.272,246.445,277.696,308.947,340.198,371.527,402.778,434.03,465.281,496.532,527.783,559.112,590.363,621.614,652.865,684.194,715.445,746.696,778.026,809.277
E01000014,17.256,18.598,24.467,49.653,81.785,103.768,125.752,147.735,169.664,191.647,213.63,235.614,257.652,279.635,301.618,323.602,345.585,367.568,389.607,411.59,433.574,455.557,477.595,499.578,521.562,543.6,565.583
E01000015,15.691,17.696,25.704,59.098,101.844,130.865,159.885,188.906,217.854,246.875,275.895,304.916,334.009,363.03,392.05,421.071,450.092,479.112,508.205,537.226,566.246,595.267,624.36,653.381,682.402,711.495,740.515
E01000016,66.718,75.125,89.587,115.355,152.153,182.279,212.405,242.531,272.582,302.708,332.834,362.961,393.162,423.288,453.415,483.541,513.667,543.793,573.995,604.121,634.247,664.373,694.575,724.701,754.827,785.029,815.155
E01000017,47.01,50.095,53.701,57.773,62.952,69.286,75.619,81.952,88.27,94.603,100.937,107.27,113.619,119.952,126.286,132.619,138.952,145.286,151.635,157.968,164.302,170.635,176.984,183.317,189.651,196.0,202.333
E01000018,9.061,9.998,15.093,38.567,68.337,88.499,108.662,128.824,148.937,169.099,189.262,209.424,229.638,249.8,269.963,290.125,310.288,330.451,350.664,370.826,390.989,411.152,431.364,451.527,471.69,491.903,512.065
E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,33.053,35.562,39.447,66.505,104.946,129.657,154.368,179.078,203.727,228.437,253.148,277.859,302.631,327.342,352.052,376.763,401.473,426.184,450.956,475.667,500.377,525.088,549.86,574.571,599.281,624.054,648.764
E01000021,7.001,7.573,9.784,40.263,81.041,105.784,130.526,155.268,179.949,204.691,229.433,254.175,278.98,303.722,328.464,353.206,377.949,402.691,427.495,452.237,476.98,501.722,526.526,551.268,576.011,600.815,625.557
E01000022,24.376,27.74,32.004,50.91,79.577,98.483,117.389,136.295,155.154,174.06,192.966,211.872,230.826,249.732,268.638,287.544,306.45,325.357,344.31,363.216,382.122,401.029,419.982,438.888,457.794,476.748,495.654
E01000024,32.215,37.68,43.618,56.563,79.735,96.021,112.307,128.593,144.838,161.124,177.41,193.696,210.022,226.308,242.594,258.88,275.166,291.452,307.778,324.064,340.35,356.636,372.962,389.248,405.534,421.861,438.146
E01000025,23.504,24.871,27.434,50.626,82.707,102.993,123.279,143.566,163.801,184.088,204.374,224.66,244.997,265.283,285.57,305.856,326.142,346.429,366.766,387.052,407.338,427.624,447.962,468.248,488.534,508.871,529.157
E01000027,36.351,39.641,45.844,59.274,77.855,92.509,107.164,121.819,136.437,151.092,165.747,180.402,195.093,209.748,224.403,239.057,253.712,268.367,283.058,297.713,312.368,327.023,341.714,356.369,371.024,385.715,400.37
E01000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000029,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164,20.164
E01000030,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026,58.026
E01000031,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921,31.921
E01000032,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521
E01000033,31.699,32.95,35.907,44.55,56.019,64.714,73.408,82.103,90.776,99.471,108.166,116.86,125.577,134.271,142.966,151.661,160.356,169.05,177.767,186.461,195.156,203.851,212.567,221.262,229.957,238.673,247.368
E01000034,16.949,17.459,18.423,20.508,23.39,25.86,28.33,30.799,33.263,35.733,38.202,40.672,43.148,45.617,48.087,50.557,53.026,55.496,57.972,60.441,62.911,65.381,67.856,70.326,72.796,75.272,77.741
E01000035,7.422,7.573,8.434,12.469,17.583,21.119,24.656,28.192,31.72,35.256,38.793,42.329,45.875,49.411,52.947,56.484,60.02,63.557,67.102,70.639,74.175,77.712,81.257,84.793,88.33,91.875,95.411
E01000036,32.101,36.73,47.518,78.702,120.163,150.292,180.422,210.552,240.606,270.735,300.865,330.995,361.2,391.329,421.459,451.588,481.718,511.847,542.052,572.182,602.312,632.441,662.646,692.776,722.905,753.11,783.24
E01000037,2.643,3.01,9.621,46.468,92.612,122.892,153.172,183.452,213.656,243.936,274.216,304.496,334.851,365.131,395.411,425.691,455.97,486.25,516.606,546.886,577.166,607.445,637.801,668.081,698.361,728.716,758.996
E01000038,45.899,53.773,64.418,78.552,96.533,114.422,132.31,150.199,168.044,185.932,203.821,221.71,239.644,257.533,275.422,293.311,311.2,329.089,347.022,364.911,382.8,400.689,418.623,436.512,454.4,472.334,490.223
E01000039,22.67,24.037,29.983,55.535,88.143,110.58,133.017,155.455,177.836,200.273,222.71,245.147,267.64,290.077,312.514,334.952,357.389,379.826,402.319,424.756,447.194,469.631,492.124,514.561,536.998,559.491,581.928
E01000040,18.248,18.425,18.761,21.823,26.054,29.079,32.104,35.13,38.148,41.173,44.198,47.224,50.257,53.282,56.308,59.333,62.359,65.384,68.417,71.442,74.468,77.493,80.526,83.552,86.577,89.61,92.635
E01000041,20.383,21.584,23.815,43.766,71.389,88.896,106.403,123.91,141.373,158.88,176.387,193.894,211.445,228.952,246.458,263.965,281.472,298.979,316.53,334.037,351.544,369.051,386.601,404.108,421.615,439.166,456.673
E01000042,12.625,13.919,16.556,44.058,81.765,105.079,128.392,151.706,174.961,198.274,221.588,244.901,268.273,291.586,314.9,338.213,361.527,384.84,408.212,431.525,454.839,478.152,501.524,524.837,548.151,571.522,594.836
E01000043,18.627,21.217,26.328,74.669,141.242,182.426,223.61,264.794,305.874,347.058,388.242,429.426,470.713,511.896,553.08,594.264,635.448,676.631,717.918,759.102,800.286,841.469,882.756,923.94,965.124,1006.41,1047.594
