LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Electric Engagement,ZEV Mandate,PHEV cars,Number,28,1132,1459,1348,1192,1069,977,911,848,801,762,720,624,559,510,458,403,358,311,277,232,186,152,129,95,71,60,47
E01000002,Electric Engagement,ZEV Mandate,PHEV cars,Number,28,833,1171,1202,1222,1204,1188,1172,1144,1114,1066,1050,922,865,796,732,678,607,528,490,413,355,275,236,177,137,117,97
E01000003,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,439,622,694,703,705,703,687,692,674,647,626,554,513,489,433,406,353,331,265,222,201,157,136,113,91,45,46
E01000005,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,352,505,477,477,440,431,428,409,382,371,366,315,298,269,256,236,199,185,157,144,115,87,73,58,44,44,30
E01000006,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,21,26,29,32,37,40,47,53,59,64,69,65,62,58,54,50,45,41,36,31,26,21,17,13,9,8,6
E01000007,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,29,32,33,36,40,45,52,59,65,70,76,72,68,63,59,54,50,45,40,35,29,24,19,15,12,8,6
E01000008,Electric Engagement,ZEV Mandate,PHEV cars,Number,23,29,32,33,34,39,43,51,57,64,69,75,71,68,63,59,54,49,44,40,35,29,24,19,15,11,9,7
E01000009,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,20,23,25,27,31,35,42,47,53,58,63,60,56,53,49,46,41,37,33,29,25,20,16,12,10,7,5
E01000011,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,17,19,21,23,26,28,34,39,44,47,52,48,46,43,40,37,34,31,27,24,20,16,13,10,8,5,4
E01000012,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,26,29,30,33,36,40,47,53,59,63,68,64,61,57,53,49,44,41,35,30,26,21,17,13,10,8,5
E01000013,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,18,26,30,34,38,42,49,56,61,67,71,68,64,60,55,51,46,40,36,30,26,21,17,13,10,8,5
E01000014,Electric Engagement,ZEV Mandate,PHEV cars,Number,12,18,26,30,34,37,42,48,55,61,67,71,68,64,60,55,52,46,41,36,31,26,21,17,13,10,8,6
E01000015,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,26,33,37,41,47,53,61,70,78,85,91,87,82,76,71,66,59,53,47,41,35,28,23,18,13,9,8
E01000016,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,24,32,36,41,46,50,58,66,73,79,85,81,77,71,66,61,56,50,43,37,31,25,20,15,12,9,7
E01000017,Electric Engagement,ZEV Mandate,PHEV cars,Number,14,21,29,33,37,42,45,53,59,65,70,75,72,67,63,59,53,48,43,37,32,27,22,17,13,10,7,6
E01000018,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,25,31,36,41,46,50,58,66,74,80,86,82,77,72,67,61,56,50,44,38,32,26,21,16,12,9,7
E01000019,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,29,37,41,45,49,53,60,67,73,78,83,79,73,67,60,55,49,43,38,33,28,22,18,14,11,7,6
E01000020,Electric Engagement,ZEV Mandate,PHEV cars,Number,25,34,43,47,52,56,62,70,78,85,92,98,93,87,81,73,66,59,52,46,39,33,27,21,16,12,9,7
