LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Counterfactual,Delayed Tech,BEV Vans,Number,4,5,5,6,6,8,9,11,12,15,18,21,23,27,30,33,36,38,41,42,45,46,48,50,50,51,52,52
E01000002,Counterfactual,Delayed Tech,BEV Vans,Number,4,4,5,5,6,7,9,10,12,15,18,21,23,27,29,32,35,37,39,42,44,45,47,49,50,50,51,51
E01000003,Counterfactual,Delayed Tech,BEV Vans,Number,2,2,3,3,3,4,5,6,8,9,10,12,14,16,17,19,21,22,23,25,26,27,28,28,30,30,31,30
E01000005,Counterfactual,Delayed Tech,BEV Vans,Number,2,2,2,3,3,4,5,6,7,8,10,11,13,15,17,18,20,21,22,24,25,26,27,27,28,29,29,29
E01000006,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,2,2,3,3,5,7,8,10,12,13,15,16,18,20,20,22,24,24,26,26,26,26,27,27
E01000007,Counterfactual,Delayed Tech,BEV Vans,Number,1,1,1,1,2,2,4,5,7,9,11,14,16,18,20,23,25,27,30,31,33,34,36,36,37,38,38,39
E01000008,Counterfactual,Delayed Tech,BEV Vans,Number,1,1,1,2,3,3,5,7,8,10,13,16,18,21,24,26,29,31,33,35,37,39,40,41,42,43,44,44
E01000009,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,0,2,2,2,4,4,5,7,9,11,12,13,15,17,18,20,20,22,23,23,24,24,25,25,26
E01000011,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,0,1,2,2,4,4,5,7,8,10,11,13,14,14,15,16,17,18,19,19,20,20,20,21
E01000012,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,2,2,3,5,6,8,10,12,15,17,18,20,23,25,26,28,30,31,32,32,33,33,34,35
E01000013,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,1,3,3,4,6,7,9,11,13,15,17,19,21,22,24,26,27,29,29,30,31,31,32,33
E01000014,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,1,2,3,4,6,8,9,12,13,15,17,19,21,23,25,27,28,29,31,31,32,33,33,33
E01000015,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,2,3,4,6,8,11,12,16,18,21,24,27,29,32,35,37,38,40,41,43,44,44,45,46
E01000016,Counterfactual,Delayed Tech,BEV Vans,Number,1,0,1,2,2,3,4,6,8,10,13,16,19,22,24,28,29,32,35,37,39,40,42,43,44,45,46,46
E01000017,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,2,3,5,6,8,10,11,14,16,19,21,22,25,26,27,29,30,31,33,33,34,34,35
E01000018,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,2,3,3,6,8,9,12,14,17,20,22,25,27,30,31,34,36,37,38,39,40,41,42,42
E01000019,Counterfactual,Delayed Tech,BEV Vans,Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Counterfactual,Delayed Tech,BEV Vans,Number,2,2,2,3,3,5,7,9,11,14,18,21,25,29,33,36,40,43,46,49,51,53,55,56,58,59,59,61
E01000021,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,1,2,2,4,5,7,9,11,13,14,17,18,20,22,24,25,26,28,28,29,30,31,30,31
E01000022,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,0,1,1,2,3,4,5,7,9,11,13,15,17,19,21,23,25,26,27,28,29,30,31,31,32,32
E01000024,Counterfactual,Delayed Tech,BEV Vans,Number,1,0,1,1,1,2,2,4,4,6,7,9,10,12,14,15,16,18,19,21,22,22,23,23,25,25,25,25
E01000025,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,1,2,2,4,5,7,8,10,12,13,15,17,19,20,22,24,24,25,27,28,28,28,29,29
E01000027,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,3,4,5,7,10,14,17,21,25,29,33,37,40,44,47,49,52,55,57,58,60,61,62,63
E01000028,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,1,2,3,5,7,8,11,14,16,18,21,24,26,28,30,33,33,36,37,38,39,39,40,40
E01000029,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,0,1,2,4,5,7,9,13,15,19,22,26,29,33,36,39,42,44,47,49,51,52,54,55,55,56
E01000030,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,3,5,8,11,13,16,20,23,27,31,35,38,42,45,47,49,52,54,55,57,58,59,59
E01000031,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,0,1,2,3,4,6,9,11,14,17,20,24,26,30,33,36,39,41,43,45,46,48,48,49,50,51
E01000032,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,2,2,3,4,6,8,11,14,17,20,22,26,29,32,34,36,38,41,42,43,45,46,47,48,48
E01000033,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,3,5,7,9,11,14,17,20,24,27,30,34,37,39,42,44,46,48,49,50,50,51,52
E01000034,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,0,1,1,2,3,5,6,7,9,11,13,15,17,19,21,22,25,26,27,29,30,30,31,32,33,33
E01000035,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,3,5,7,10,13,16,19,22,26,29,32,36,39,42,44,47,49,51,52,53,54,55,55
E01000036,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,2,4,6,7,9,12,14,18,20,23,25,28,30,32,34,36,37,39,40,41,41,42,43
E01000037,Counterfactual,Delayed Tech,BEV Vans,Number,1,1,1,1,2,3,4,5,7,9,11,13,16,18,21,22,25,27,29,31,32,33,35,36,37,37,38,38
E01000038,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,0,1,2,2,4,6,8,10,12,15,18,20,23,26,28,31,32,34,36,38,39,41,41,42,43,44
E01000039,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,2,2,3,3,5,7,9,12,14,17,19,22,24,27,29,31,33,35,36,38,39,40,40,40,41
E01000040,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,2,3,5,7,10,14,18,23,28,33,37,43,48,53,58,62,66,68,71,74,76,78,80,81,82
E01000041,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,1,1,2,2,3,5,6,8,11,12,15,18,20,23,25,26,28,31,31,33,35,36,36,37,38,38
E01000042,Counterfactual,Delayed Tech,BEV Vans,Number,0,0,0,1,1,2,3,4,5,7,8,10,13,14,16,18,20,21,23,24,26,26,27,28,29,30,30,30
E01000043,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,2,3,5,8,11,15,20,25,31,36,42,48,54,59,64,69,72,76,79,83,85,87,88,90,91
E01000044,Counterfactual,Delayed Tech,BEV Vans,Number,0,1,1,1,1,2,2,4,5,6,7,8,10,12,13,15,16,17,19,19,20,21,22,22,24,23,23,24
E01000045,Counterfactual,Delayed Tech,BEV Vans,Number,1,1,1,2,2,3,3,5,6,9,11,14,16,18,21,23,26,28,29,31,32,35,35,37,37,38,38,39
E01000046,Counterfactual,Delayed Tech,BEV Vans,Number,1,0,1,1,2,2,3,5,7,9,11,14,17,19,22,24,27,29,31,33,34,36,38,38,40,40,40,41
E01000049,Counterfactual,Delayed Tech,BEV Vans,Number,1,1,1,1,2,1,3,4,4,6,6,8,10,11,13,15,15,17,18,19,21,21,22,22,23,23,23,24
