LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,0.0,5.0,6.0,6.0,8.0,9.0,11.0,12.0,15.0,18.0,21.0,23.0,27.0,30.0,33.0,36.0,38.0,41.0,42.0,45.0,46.0,48.0,50.0,50.0,51.0,52.0,52.0
E01000002,1.0,5.0,5.0,6.0,7.0,9.0,10.0,12.0,15.0,18.0,21.0,23.0,27.0,29.0,32.0,35.0,37.0,39.0,42.0,44.0,45.0,47.0,49.0,50.0,50.0,51.0,51.0
E01000003,0.0,3.0,3.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,12.0,14.0,16.0,17.0,19.0,21.0,22.0,23.0,25.0,26.0,27.0,28.0,28.0,30.0,30.0,31.0,30.0
E01000005,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,15.0,17.0,18.0,20.0,21.0,22.0,24.0,25.0,26.0,27.0,27.0,28.0,29.0,29.0,29.0
E01000006,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,7.0,8.0,10.0,12.0,13.0,15.0,16.0,18.0,20.0,20.0,22.0,24.0,24.0,26.0,26.0,26.0,26.0,27.0,27.0
E01000007,1.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,9.0,11.0,14.0,16.0,18.0,20.0,23.0,25.0,27.0,30.0,31.0,33.0,34.0,36.0,36.0,37.0,38.0,38.0,39.0
E01000008,1.0,1.0,2.0,3.0,3.0,5.0,7.0,8.0,10.0,13.0,16.0,18.0,21.0,24.0,26.0,29.0,31.0,33.0,35.0,37.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0
E01000009,0.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,7.0,9.0,11.0,12.0,13.0,15.0,17.0,18.0,20.0,20.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0
E01000011,0.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,5.0,7.0,8.0,10.0,11.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0
E01000012,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,8.0,10.0,12.0,15.0,17.0,18.0,20.0,23.0,25.0,26.0,28.0,30.0,31.0,32.0,32.0,33.0,33.0,34.0,35.0
E01000013,0.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,22.0,24.0,26.0,27.0,29.0,29.0,30.0,31.0,31.0,32.0,33.0
E01000014,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,9.0,12.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,27.0,28.0,29.0,31.0,31.0,32.0,33.0,33.0,33.0
E01000015,1.0,1.0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,12.0,16.0,18.0,21.0,24.0,27.0,29.0,32.0,35.0,37.0,38.0,40.0,41.0,43.0,44.0,44.0,45.0,46.0
E01000016,1.0,1.0,2.0,2.0,3.0,4.0,6.0,8.0,10.0,13.0,16.0,19.0,22.0,24.0,28.0,29.0,32.0,35.0,37.0,39.0,40.0,42.0,43.0,44.0,45.0,46.0,46.0
E01000017,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,8.0,10.0,11.0,14.0,16.0,19.0,21.0,22.0,25.0,26.0,27.0,29.0,30.0,31.0,33.0,33.0,34.0,34.0,35.0
E01000018,1.0,1.0,1.0,2.0,3.0,3.0,6.0,8.0,9.0,12.0,14.0,17.0,20.0,22.0,25.0,27.0,30.0,31.0,34.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,42.0
E01000019,0.0,2.0,3.0,3.0,4.0,5.0,7.0,10.0,12.0,14.0,17.0,19.0,23.0,26.0,29.0,31.0,34.0,37.0,39.0,40.0,42.0,44.0,45.0,46.0,47.0,47.0,48.0
