LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Holistic Transition,Reduced Demand,BEV Vans,Number,4,4,73,59,52,54,50,56,58,59,64,69,74,83,94,104,114,124,133,144,155,159,165,174,179,180,185,183
E01000002,Holistic Transition,Reduced Demand,BEV Vans,Number,4,5,57,53,54,59,60,66,71,80,93,98,112,125,144,161,188,213,226,242,260,268,280,294,302,305,312,309
E01000003,Holistic Transition,Reduced Demand,BEV Vans,Number,2,2,30,38,40,36,39,48,51,53,57,64,72,82,98,111,122,143,150,164,171,178,185,193,201,202,203,205
E01000005,Holistic Transition,Reduced Demand,BEV Vans,Number,2,3,27,30,25,27,29,30,35,38,41,40,48,54,62,69,79,91,94,103,107,112,117,122,126,127,129,129
E01000006,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,0,1,2,2,3,4,6,8,9,10,13,14,17,18,20,23,24,25,27,28,29,30,31,32,31,32
E01000007,Holistic Transition,Reduced Demand,BEV Vans,Number,1,1,1,1,3,4,5,7,8,11,13,15,18,20,23,27,29,31,34,36,38,39,41,42,43,44,45,45
E01000008,Holistic Transition,Reduced Demand,BEV Vans,Number,1,1,2,2,3,4,5,8,10,12,14,16,20,24,27,30,33,36,38,41,44,45,47,48,49,50,51,51
E01000009,Holistic Transition,Reduced Demand,BEV Vans,Number,0,0,0,1,1,2,3,4,6,6,8,9,11,13,16,17,19,21,22,24,25,26,27,28,28,28,29,29
E01000011,Holistic Transition,Reduced Demand,BEV Vans,Number,0,0,1,1,2,2,3,4,5,6,6,8,9,11,12,14,16,17,18,19,20,21,22,22,23,23,23,24
E01000012,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,1,2,4,5,6,7,9,11,13,15,19,21,24,26,29,31,32,34,35,37,38,39,40,40,40
E01000013,Holistic Transition,Reduced Demand,BEV Vans,Number,0,0,1,1,2,3,4,6,7,9,10,12,14,17,20,21,24,26,28,29,31,32,34,35,35,36,37,37
E01000014,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,1,2,2,4,5,7,8,11,12,15,18,20,23,25,27,29,31,33,34,35,36,37,38,39,39
E01000015,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,2,3,3,6,7,9,11,14,16,20,24,28,31,34,37,40,42,45,47,48,50,51,51,53,53
E01000016,Holistic Transition,Reduced Demand,BEV Vans,Number,1,1,1,2,3,4,6,8,10,12,14,17,21,24,28,31,34,38,40,43,45,47,48,50,51,52,52,54
E01000017,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,1,2,3,4,6,8,9,11,12,15,18,20,23,25,27,30,31,33,35,36,37,38,38,39,40
E01000018,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,2,2,3,5,7,9,11,13,16,18,22,25,28,31,34,36,38,40,43,44,46,46,48,48,49
E01000019,Holistic Transition,Reduced Demand,BEV Vans,Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Holistic Transition,Reduced Demand,BEV Vans,Number,2,2,3,3,4,6,8,11,14,17,20,23,28,33,37,41,46,49,53,56,59,61,64,66,67,68,69,70
E01000021,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,1,2,2,4,5,7,8,10,12,14,16,19,21,23,25,27,29,30,32,33,34,34,35,35,36
E01000022,Holistic Transition,Reduced Demand,BEV Vans,Number,0,1,1,1,2,2,4,5,7,9,10,11,14,17,20,22,24,27,28,30,31,33,35,35,36,36,37,37
E01000024,Holistic Transition,Reduced Demand,BEV Vans,Number,1,0,1,1,1,2,3,5,5,7,8,10,11,13,16,17,19,21,22,24,24,26,27,28,28,28,30,30
