LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,4,4,73,59,52,54,50,56,58,59,64,69,74,83,94,104,114,124,133,144,155,159,165,174,179,180,185,183
E01000002,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,4,5,57,53,54,59,60,66,71,80,93,98,112,125,144,161,188,213,226,242,260,268,280,294,302,305,312,309
E01000003,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,2,2,30,38,40,36,39,48,51,53,57,64,72,82,98,111,122,143,150,164,171,178,185,193,201,202,203,205
E01000005,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,2,3,27,30,25,27,29,30,35,38,41,40,48,54,62,69,80,91,94,103,107,112,117,122,126,127,129,129
E01000006,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,3,4,5,7,8,9,12,14,16,19,22,24,27,29,30,32,34,35,37,38,39,39,40
E01000007,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,1,2,2,2,4,6,7,9,12,14,16,20,24,27,31,34,37,40,43,45,47,49,51,52,54,56,56
E01000008,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,1,2,2,3,4,6,8,11,14,16,18,22,27,31,35,39,42,46,48,52,54,57,58,60,62,63,64
E01000009,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,0,1,1,2,4,4,5,8,9,10,13,16,17,20,22,25,27,28,30,31,33,34,35,36,37,38
E01000011,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,0,1,1,2,3,4,4,6,7,8,10,13,15,16,18,20,21,23,23,25,26,27,28,29,30,29
E01000012,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,2,3,5,6,8,11,12,14,18,21,25,28,30,33,36,38,41,43,44,46,48,48,50,50
E01000013,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,1,2,3,4,5,8,9,11,13,16,19,22,26,28,30,33,36,37,39,41,43,44,45,46,46
E01000014,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,3,4,6,7,10,11,14,17,20,23,27,29,32,35,36,39,41,43,44,46,47,48,49
E01000015,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,3,4,6,8,10,13,16,19,23,27,31,36,40,43,47,50,53,56,58,60,63,64,65,66
E01000016,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,1,1,2,2,4,6,8,10,13,16,19,23,28,32,36,40,44,47,50,53,57,58,61,63,65,65,67
E01000017,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,0,2,2,3,4,6,8,10,12,14,17,20,24,27,30,33,35,37,40,42,44,45,47,48,49,50
E01000018,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,3,4,5,7,10,12,15,17,21,25,29,33,37,40,43,46,49,51,54,56,57,59,60,61
E01000019,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,2,2,2,3,5,6,9,11,15,19,22,26,31,37,42,47,53,57,63,67,70,74,77,80,82,84,86,87
E01000021,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,2,4,6,7,9,11,13,16,19,22,25,27,30,32,34,36,38,39,41,42,43,45,45
E01000022,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,2,4,5,8,9,11,13,17,19,23,25,28,30,34,36,38,40,41,42,44,45,46,47
E01000024,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,0,1,1,1,3,3,5,6,7,9,10,13,15,17,20,22,25,26,27,30,31,32,34,35,36,37,37
E01000025,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,1,1,2,3,5,7,9,10,12,14,17,20,22,25,27,29,32,34,36,38,38,40,41,41,42
E01000027,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,2,2,3,5,8,11,14,18,21,25,32,37,43,49,54,59,65,68,72,76,80,83,85,88,89,91
E01000028,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,2,2,3,4,7,9,11,14,16,20,24,27,32,35,38,41,44,47,49,51,53,55,56,57,58
E01000029,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,2,2,5,7,9,13,16,19,22,28,33,38,43,49,53,58,62,65,69,72,74,77,78,80,81
E01000030,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,3,5,7,10,14,17,20,25,29,36,41,47,51,56,61,65,68,73,75,79,80,83,84,85
E01000031,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,2,2,4,6,9,12,15,17,20,25,31,36,40,44,48,52,56,60,62,65,67,69,71,72,74
E01000032,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,4,6,8,11,14,16,19,24,29,34,38,42,46,49,53,56,59,62,64,66,68,69,70
E01000033,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,2,2,4,6,9,11,15,18,22,26,31,36,41,45,50,54,57,60,63,66,69,70,73,74,76
E01000034,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,0,1,1,3,4,6,8,9,11,14,16,20,22,26,29,30,34,36,38,40,42,43,44,46,47,48
E01000035,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,3,4,7,9,13,16,19,22,28,33,39,43,48,53,57,60,64,68,71,73,76,77,79,80
E01000036,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,1,2,4,5,8,10,13,15,18,22,26,29,34,38,41,44,47,50,53,55,56,58,60,61,62
E01000037,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,1,1,1,1,2,4,5,6,9,11,13,16,19,22,27,30,34,37,39,42,44,47,49,50,52,54,55,55
E01000038,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,2,4,5,7,10,13,15,18,21,26,30,34,38,41,45,47,50,53,55,57,59,61,62,63
E01000039,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,2,2,4,5,8,10,12,14,17,21,24,28,32,36,39,42,45,48,50,53,54,56,58,59,60
E01000040,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,0,1,2,4,7,9,13,18,23,28,33,41,48,56,64,71,78,84,90,96,100,105,108,111,114,117,119
E01000041,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,3,5,7,8,11,13,16,19,23,26,30,33,36,39,42,44,47,48,50,51,53,54,54
E01000042,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,2,3,4,5,7,8,10,12,15,18,21,24,26,29,31,33,35,37,39,40,41,42,43,44
E01000043,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,3,5,7,11,15,20,25,31,37,45,54,63,71,79,86,94,100,106,111,116,120,124,127,130,132
E01000044,Hydrogen Evolution,ZEV Mandate,BEV Vans,Number,0,1,1,1,1,2,3,4,5,7,9,10,13,14,17,19,21,23,25,26,29,29,31,32,33,34,35,35
